title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Crochet Halloween cats gnome pattern, Amigurumi gnome halloween toy English PDF, holiday gnome decor ",2.85,240,528,69,28,1084,317,"crochet pattern,halloween gnome,halloween cat,amigurumi halloween,holiday gnome,crochet doll pattern,crochet gnome,amigurumi gnome,gnome ornament,crochet cat pattern,amigurumi cat,garden gnome,halloween decor",United States,2023-08-17,yes,no,no,CreativeMamavyaz,https://www.etsy.com/listing/1532134460/crochet-halloween-cats-gnome-pattern
"Retro Halloween Bundle SVG, Halloween Vector, Witch svg, Ghost svg, Halloween shirt svg, Pumpkin svg, Sarcastic svg, Cricut, Silhouette png ",1.0,59,99,10,3,129,43,"halloween svg,halloween quote svg,halloween svg bundle,pumpkin svg,ghost svg,Halloween shirt svg,halloween clipart,Citragraphics,retro halloween svg,Retro Halloween PNG,groovy halloween,Cute Halloween PNG,spooky season png",United States,2023-08-21,yes,no,no,CitraGraphics,https://www.etsy.com/listing/1534795868/retro-halloween-bundle-svg-halloween
Christmas SVG File | Activity Tokens | Kids | Games | Laser Cut Files | Hot Cocoa |  Wood Scrap Buster ,5.0,55,63,6,2,435,119,"christmas svg,activity tokens,christmas games,svg file,elf,elf games,laser cut,glowforge,christmas cut file,laser file,kids christmas,hot coco,scrap busting",United States,2023-08-20,yes,no,no,MagnoliasCoast,https://www.etsy.com/listing/1548619709/christmas-svg-file-activity-tokens-kids
"Junk Journal, Autumn, Academia, ADD ON, Kit, Fall, Halloween, Gothic, Dark, Study, Raven, My Porch Prints, Printable, Digital Download ",2.99,26,51,17,4,129,29,"Junk Journal,Autumn,Academia,Add On,Kit,Fall,Halloween,Gothic,Victorian,My Porch Prints,Printable,Digital Download,Dark Academia",United States,2023-08-24,yes,no,no,MyPorchPrints,https://www.etsy.com/listing/1536753194/junk-journal-autumn-academia-add-on-kit
"NEW White Game Day Chenille Patch, iron on patch, game day, diy patch ",9.99,15,54,7,0,208,56,"Game day,game day patch,Football season,iron on patch,football patch,Chenille patch,chenille game day,fun patch,Patch for bag,Patch for mom,thanksgiving,sequin football",United States,2023-08-19,yes,no,no,stitchedoriginals,https://www.etsy.com/listing/1533300588/new-white-game-day-chenille-patch-iron
Gentleman Junk Journal Steampunk Printable Scrapbook Masculine Vintage Grunge Victorian Men Papers Industrial Railroad Train Paper Digital ,4.54,0,17,14,0,27,0,"Junk Journal,Steampunk Digital,Printable Kit,Industrial Grunge,Father Gift,Victorian Men,Dark Academia,Husband Gift,Journaling Supplies,Bullet Journal,Distinguished Man,Gentleman Scrapbook",United States,2023-08-28,yes,no,no,InkandPageJournals,https://www.etsy.com/listing/1554199097/gentleman-junk-journal-steampunk
Set of 2 x 925 Sterling Silver Tiny Bat Charms - Halloween Spooky - Drops for Earrings Bracelet or Necklace - Wholesale Jewelry Supply ,18.8,0,0,0,0,37,0,"imprinted supplies,permanent jewelry,jewelry supplies,link for bracelet,earring charms,tiny silver charms,charm for bracelet,charms for necklace,halloween charms,tiny bat charm,silver bat charm,spooky haunted",United States,2023-08-17,yes,no,no,ImprintedSupplies,https://www.etsy.com/listing/1545851397/set-of-2-x-925-sterling-silver-tiny-bat
SVG cut file  20 30 40oz size Tumbler Football Mom Tag | gift for tumbler lid | Name Plate | Stanley Tumbler personalized gift ,3.15,0,0,0,0,91,0,"laser cut file,gift tag svg,pumpkin tumbler tag,personalized tumbler,personalized stanley,tumbler name plate,birthday gift,mom stanley,mom name plate,mom tumbler,football mom,football stanley,coworker gift",United States,2023-08-27,yes,no,no,MelDenverGraphics,https://www.etsy.com/listing/1553235041/svg-cut-file-20-30-40oz-size-tumbler
"Scream SVG Bundle, Ghost Face SVG, Horror Character Svg, Scream PNG, Halloween Svg, Ghost Face Clipart, Horror Movie Svg, Instant Download ",3.59,0,46,0,0,135,0,"horror svg,horror movie svg,halloween svg,horror character svg,svg for cricut,scream svg,scream png,scream cricut,scream clipart,ghost face svg,ghost face png,scream movie svg,halloween bundle svg",United States,2023-08-23,yes,no,no,CutePotatoArts,https://www.etsy.com/listing/1535999120/scream-svg-bundle-ghost-face-svg-horror
"Middle Finger Skeleton SVG,Middle Finger svg  png,Digital File File svg, png ",1.0,0,0,5,0,25,0,"Stencils,digital print file,download instant,art collectible,invite invitation,sweatshirt tshirt,gothic goth,svg png cutter,black white simple,book card planner,funny word saying,printing screen tote,bag bottle tumbler",United States,2023-08-16,yes,no,no,ChekFinds,https://www.etsy.com/listing/1545738557/middle-finger-skeleton-svgmiddle-finger
"Amigurumi Grim Reaper crochet pattern, death, halloween, scary, spooky, grave, dias de los muertos, manden med leen, instant PDF download ",2.95,0,0,18,5,552,182,"grim reaper,halloween crochet,halloween pattern,dias de los muertos,halloween diy,pumpkin,ghost,scary crochet,spooky crochet,halloween amigurumi,døden,manden med leen",United States,2023-08-16,yes,no,no,AlterEgoCrochet,https://www.etsy.com/listing/1545718155/amigurumi-grim-reaper-crochet-pattern
