title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Mini Blankie Body — Crochet PATTERN MODIFICATION (Please read listing) ,5.0,28,96,15,3,133,13,"Crochet Pattern,Lovey Crochet,Blankie Body,Mama Made Minis,Animal Blankie,Modern Crochet,Heirloom Crochet,Knotted Lovey,Animal Lovey,Snuggler,Baby Blanket,Lovey Blankie,Crochet Blankie Body",United States,2023-08-20,yes,no,no,MamaMadeMinis,https://www.etsy.com/listing/1534222480/mini-blankie-body-crochet-pattern
Giraffe Pattern ,5.5,0,28,6,0,145,0,"crochet,pattern,amigurumi,giraffe,safari,nursery,baby,hannergurumi,cute,animal",United States,2023-08-25,yes,no,no,HannerGurumi,https://www.etsy.com/listing/1552314573/giraffe-pattern
"Crochet Bear pattern, Polar Bear, Panda Bear, Bee hive, Bucket Hat, Bamboo, Fish, Crochet Patterns, Amigurumi Crochet Pattern, Low Sew Croch ",11.75,0,243,49,0,371,0,"crochetgrove,crochetpattern,crochetpatterns,panda,crochet panda,crochet polar bear,crochet bear,bear,polar bear,crochet bear pattern,amigurumi bear,bear pattern,panda bear pattern",United States,2023-09-03,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1558044059/crochet-bear-pattern-polar-bear-panda
"Crochet Bear pattern , Bee hive, Crochet Patterns, Amigurumi Crochet Pattern, Low Sew Crochet Pattern ",6.5,0,0,9,0,178,0,"crochetgrove,crochetpattern,crochetpatterns,panda,crochet panda,crochet polar bear,crochet bear,bear,polar bear,crochet bear pattern,amigurumi bear,bear pattern,panda bear pattern",United States,2023-09-03,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1543884860/crochet-bear-pattern-bee-hive-crochet
Fall Hello Pumpkin Laser Cut File | Farmhouse Interchangeable Leaning Sign Bundle File SVG | Glowforge | Farmhouse Signs ,6.71,0,0,4,0,37,0,"diy,diy kit,wood craft kit,Laser Cut file,Interchangeable,tiered tray decor,Leaning Ladder,Ladder Inserts,Farmhouse Signs,Fall Sign SVG,Hello Pumpkin svg,Pumpkin spice latte,Sweater Weather",United States,2023-08-17,yes,no,no,thesawdustmakery,https://www.etsy.com/listing/1531959984/fall-hello-pumpkin-laser-cut-file
PATTERN | The River Dahlia Top | PassioKnit Goods Crochet ,9.5,0,23,5,0,135,0,"crochet pattern,pattern,crochet top,crochet top pattern,passioknit,passioknit goods,passioknit kelsie,crop top,crop top pattern,cut out top,crochet stye,passioknit goods top,peekaboob",United States,2023-08-25,yes,no,no,PassioKnitGoods,https://www.etsy.com/listing/1537874366/pattern-the-river-dahlia-top-passioknit
"BEST SELLING Custom Clothing Stamp | Personalized Fabric Stamp | Self Inking Stamp for Kids Clothing, Camp, School Uniforms ",17.62,0,0,14,8,43,3,"clothing stamp,fabric stamp,camp stamp,name stamp,custom name stamp,clothing labels,clothing name stamp,clothing label stamp,kids clothing stamp,clothes stamp,kids name stamp,fabric marker,custom stamp",United States,2023-08-16,yes,no,no,PickledStamps,https://www.etsy.com/listing/1531371728/best-selling-custom-clothing-stamp
"Crochet Panda Bear pattern , Bamboo, Crochet Patterns, Amigurumi Crochet Pattern, Low Sew Crochet Pattern ",5.75,0,0,6,0,80,0,"crochetgrove,crochetpattern,crochetpatterns,panda,crochet panda,crochet polar bear,crochet bear,bear,polar bear,crochet bear pattern,amigurumi bear,bear pattern,panda bear pattern",United States,2023-09-03,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1558051631/crochet-panda-bear-pattern-bamboo
Haunted house tapestry crochet pattern / Wall art / instant download / weird art / home decor / Halloween diy / Halloween crochet pattern ,3.5,0,52,4,0,224,0,"Crochet,Tapestry crochet,Weird art,Black and white,Wall art,Weird,funny art,Tapestry,Ghost,Halloween crochet,Dark art,haunted house",United States,2023-08-18,yes,no,no,Crochetorcry,https://www.etsy.com/listing/1532467800/haunted-house-tapestry-crochet-pattern
Wedding Score SVG | Laser File | Glowforge tested | Cut File | wedding gift | cutting board | cutting board svg ,0.99,0,4,5,1,35,0,"Craft Supplies & Tools,Patterns & How To,Craft Machine Files,Cutting Machine Files",United States,2023-08-16,yes,no,no,DigitalFilesRUs,https://www.etsy.com/listing/1531071652/wedding-score-svg-laser-file-glowforge
"Shaker Desk Name Sign Digital File, Office Decor, Teacher Supplies, Secretary Name Plate, Boss Gift ",6.95,0,64,6,0,213,0,"desk,lasercut,laser file,teacher,education,classroom,decor,organize,office,name plate,name sign,School",United States,2023-08-23,yes,no,no,ThatMomWithALaser,https://www.etsy.com/listing/1536052504/shaker-desk-name-sign-digital-file
"Itty Bitty BOO Pops, NO SEW, Crochet Pattern, Halloween Crochet Pattern, Ghost Crochet Pattern, Amigurumi Pattern, Crochet Ghost, Halloween ",3.5,0,282,83,17,845,199,"cable and canvas,cableandcanvas,ghost crochet,ghost pattern,halloween pattern,crochet halloween,halloween amigurumi,crochet witch,crochet pumpkin,crochet candy corn,crochet ghost,amigurumi pattern,crochet pattern",United States,2023-08-17,yes,no,no,CableandCanvas,https://www.etsy.com/listing/1532379560/itty-bitty-boo-pops-no-sew-crochet
Lolo the Duck Crochet Pattern ,5.5,0,102,21,0,165,0,"megs makes crochet,megs makes patterns,duck,ducky,flamingo,mallard,crochet,amigurumi,crochet pattern,pattern,lolo duck,Lolo the duck,lolo ducky",United States,2023-08-30,yes,no,no,MegsMakesPatterns,https://www.etsy.com/listing/1555429711/lolo-the-duck-crochet-pattern
BUNDLE Mini + Little Blankie Body — Crochet PATTERN MODIFICATION (Please read listing) ,8.0,0,0,37,12,236,49,"Crochet Pattern,Lovey Crochet,Blankie Body,Mama Made Minis,Animal Blankie,Modern Crochet,Heirloom Crochet,Knotted Lovey,Animal Lovey,Snuggler,Baby Blanket,Lovey Blankie,Crochet Blankie Body",United States,2023-08-20,yes,no,no,MamaMadeMinis,https://www.etsy.com/listing/1548574971/bundle-mini-little-blankie-body-crochet
Little Blankie Body — Crochet PATTERN MODIFICATION (Please read listing) ,5.0,0,77,0,0,71,0,"Crochet Pattern,Lovey Crochet,Blankie Body,Mama Made Minis,Animal Blankie,Modern Crochet,Heirloom Crochet,Knotted Lovey,Animal Lovey,Snuggler,Baby Blanket,Lovey Blankie,Crochet Blankie Body",United States,2023-08-20,yes,no,no,MamaMadeMinis,https://www.etsy.com/listing/1548414163/little-blankie-body-crochet-pattern
"Baby Goblin Crochet PDF Pattern - Crochet Amigurumi, Cute, Crochet Patterns Amigurumi, Monster ",7.5,0,0,25,0,1075,0,"crochet,amigurumi crochet,crochet pattern,crochet patterns,crochetbykittengrll,cute crochet pattern,baby crochet,baby goblin,amigurumi,amigurumi pattern,amigurumi animals,crochet monster,handmade gifts",United States,2023-08-25,yes,no,no,crochetbykittengrll,https://www.etsy.com/listing/1552093733/baby-goblin-crochet-pdf-pattern-crochet
