title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Fall Wall Decor Printable Pumpkin Still Life Painting Rustic Fall Art Vintage Autumn Wall Print Halloween Autumn Decor Thanksgiving Print ,Art & Collectibles > Prints > Digital Prints,2.8,187,842,87,15,1776,170,"rustic fall decor,autumn print,fall wall art,pumpkin wall art,farmhouse fall print,autumn decor,fall wall decor,earth tone decor,farmhouse decor,printable wall art,digital print,thanksgiving print,fall season decor",United States,2023-06-25,yes,no,no,IndiePixels,https://www.etsy.com/listing/1496079328/fall-wall-decor-printable-pumpkin-still
"Personalized floral Stitch png sublimation design download, custom name Stitch png, cute Stitch png, sublimate designs download ",Art & Collectibles > Drawing & Illustration > Digital,2.54,179,609,39,4,330,15,"instant download,sublimation design,stitch png,stitch png design,cute stitch png,floral stitch png,hand drawn stitch,personalized stitch,floral png,stitch character png,custom name stitch,stitch movie png,stitch sublimate",United States,2023-05-11,yes,no,no,AdoDesignShop,https://www.etsy.com/listing/1465743388/personalized-floral-stitch-png
"Halloween Sublimation Designs Bundle Png, Halloween Png Bundle, Halloween Designs Bundle, Sublimation Designs Downloads, Digital Download ",Art & Collectibles > Drawing & Illustration > Digital,1.99,150,352,31,14,597,131,"Sublimation Designs,Halloween png,Happy Halloween Png,Bad Witch Vibes Png,halloween shirt png,halloween vibes png,halloween design,pumpkin sublimation,halloween bundle png,sublimation bundle,png design bundle,png bundle,It's Spooky Season",United States,2023-07-12,yes,no,no,MintyCoffeeArtStore,https://www.etsy.com/listing/1507436090/halloween-sublimation-designs-bundle-png
"The Ultimate 100 Farmhouse Fonts Bundle, Cursive Font Bundle, Script Fonts, Canva Font, Procreate Fonts, Commercial Fonts, Calligraphy Font ",Art & Collectibles > Prints > Digital Prints,2.0,132,846,90,21,643,132,"Calligraphy Font,Font Bundle,Script Font,Crafting Font,Cricut Font,Canva Fonts,Procreate Fonts,Commercial Use,Fonts for Cricut,Farmhouse Font,Cursive Font,wedding font,handwriting font",United States,2023-07-22,yes,no,no,MyDesignKingdom,https://www.etsy.com/listing/1528209267/the-ultimate-100-farmhouse-fonts-bundle
Digital Download Horror / Halloween  20 oz Skinny  Tumbler Wrap Sublimation Design Sublimation PNG Designs Instant Download ,Art & Collectibles > Drawing & Illustration > Digital,1.5,131,1797,223,16,1693,60,"Art & Collectibles,Drawing & Illustration,Digital",United States,2023-06-13,yes,no,no,Trio3D,https://www.etsy.com/listing/1487914768/digital-download-horror-halloween-20-oz
"Floral Ghost Digital Print, Dark Romantic Ghost, Floral Ghost Download Print, Ghost Spooky Decor Alt Wall Art Halloween JPG 01 ",Art & Collectibles > Drawing & Illustration > Digital,4.26,131,378,44,17,1767,525,"Cute Ghost Art,Boo Ghost Print,Funny Ghost Poster,Spooky Wall Art,Haunted Decor Wall,Spooky Room Decor,Adorable Creepy Art,Moody Ghost Art,Quirky Ghost Art,Horror Art Poster,A Ghost Story,Ghost halloween,Ghost Flower",United States,2023-07-24,yes,no,no,EuartdecoPrints,https://www.etsy.com/listing/1515472032/floral-ghost-digital-print-dark-romantic
Just A Girl Who Loves Horror Digital Download Horror / Halloween  20 oz Skinny  Tumbler Wrap Sublimation Design PNG Designs Instant Download ,Art & Collectibles > Drawing & Illustration > Digital,1.42,116,1739,216,16,1744,52,"Art & Collectibles,Drawing & Illustration,Digital",United States,2023-06-17,yes,no,no,Trio3D,https://www.etsy.com/listing/1491011922/just-a-girl-who-loves-horror-digital
"Women Eating Pasta on Lake, Black and White Art, Vintage Wall Art, Funny Art, Pasta Picnic on Lake, Picnic on Lake, DOWNLOAD, PRINTABLE Art ",Art & Collectibles > Prints > Digital Prints,3.25,99,1702,158,12,6095,253,"Digital Download,Printable Wall Art,Vintage Wall Art,Black and White Art,Funny Wall Art,Retro Wall Decor,Women Eating Pasta,Spaghetti Wall Art,Old Photo,Pasta Picnic on Lake,Pasta on Lake,Women Friends,Floating Pasta Lunch",United States,2023-01-30,yes,no,no,VibrantVintagePrints,https://www.etsy.com/listing/1405835059/women-eating-pasta-on-lake-black-and
"Cat Ghost Embroidery Design, Four Halloween Ghost Cat Embroidery Design, Halloween Cat Machine Embroidery Files, Boo Ghost Kitten Embroidery ",Art & Collectibles > Fiber Arts > Embroidery,3.19,99,814,88,11,1581,91,"Halloween Cats,Сute ghost cat,Cat Ghost embroidery,Black Cat embroidery,Halloween embroidery,embroidery pes files,four Spooky cats,Boo Ghosts cats,Ghost embroidery,pumpkin embroidery,Ghost cat embroidery,spooky witch cat,Halloween dog ghost",United States,2022-09-27,yes,no,no,PremioEmbroidery,https://www.etsy.com/listing/1299741048/cat-ghost-embroidery-design-four
samsung frame tv art | halloween frame tv art | vintage ghosts | the frame tv art | spooky art for frame tv | kikiandnim | digital download ,Art & Collectibles > Prints > Digital Prints,3.2,93,312,33,10,483,119,"samsung frame tv art,living room tv art,halloween tv art,spooky decor,fall decor,the frame tv art,digital download,vintage ghosts,halloween decor,halloween,frame tv art,vintage landscapes,kikiandnim",United States,2023-07-28,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1517839984/samsung-frame-tv-art-halloween-frame-tv
"Halloween Candy Dome SVG Bundle, Halloween Candy Holder SVG, Candy Ornaments SVG, Chocolate holder svg, Party Favor, Trick or Treat Gifts ",Art & Collectibles > Prints > Digital Prints,1.57,86,173,18,10,224,86,"candy dome ornaments,candy ornament svg,paper craft cut file,dome ornament svg,candy holder svg,candy party favors,trick or treat craft,halloween party gift,halloween ornament,halloween candy svg,Ghost candy dome,halloween candy dome,Halloween craft svg",United States,2023-08-06,yes,no,no,SVGplugDz,https://www.etsy.com/listing/1524108514/halloween-candy-dome-svg-bundle
