title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Custom Tumbler Name Tag 30 or 40 oz - Glitter Name Topper - Personalized Tumbler Decoration - Acrylic Name Plate ,14.45,282,658,107,44,1136,221,"40 oz tumbler,30 oz tumbler,Stanley Tumbler,Stanley Dupe,stanley 40oz tumbler,tumbler lid name tag,30oz tumbler tag,stanley straw topper,custom id tag,tumbler topper,Waterbottle Name Tag,Stanley Quencher,personalized lid tag",United States,2023-08-11,yes,no,no,FestiveGal,https://www.etsy.com/listing/1542101717/custom-tumbler-name-tag-30-or-40-oz
Personalized Tumbler Name Plate ,11.99,279,712,114,49,699,175,"stanley name plate,stanley cup,personalized stanley,name plate tag,engraved stanley,stanley name cup,stanley tumbler,cute 2023 fall,tumbler gifts,stanley mug name,stanley accessories,stanley glitter,stanley name tag",United States,2023-08-12,yes,no,no,HickoryHousewife,https://www.etsy.com/listing/1528647810/personalized-tumbler-name-plate
40oz or 30oz Tumbler Personalized Name Tag | Personalized name tag for tumbler lid | Name Plate | Stanley Tumbler Name Plate ,13.5,209,1001,236,52,931,64,"Tumbler tag,Tumbler name plate,Stanley accessories,Tumbler accessories,Teacher gift,Bridesmaid gift,Birthday gift,Gift for her,Girlfriend gift,Name for bottle,Name tag Stanley,Stanley gift,stanley",United States,2023-08-04,yes,no,no,RealCraftWives,https://www.etsy.com/listing/1523082510/40oz-or-30oz-tumbler-personalized-name
"Custom Pet Pillow, Dog Throw Pillow 3D Pillow Pet Photo Pet Cat Pillow Custom, Personalized Pet Pillow ",7.5,182,890,197,43,1050,218,"home decor,custom pet pillow,pet photo pillow,dog pillow,photo pillow,cat pillow,memorial pet,pet loss,dog lover,gift,personalized gift,pet portrait,pet pillow custom",United States,2023-07-28,yes,no,no,TeddiCustomsStudio,https://www.etsy.com/listing/1532217089/custom-pet-pillow-dog-throw-pillow-3d
"Personalized Birth Flower Iced Coffee Cup, Custom Can Glass with Lid and Straw Bridesmaid Gift 16oz Glass Cup, Bridesmaid Proposal ",9.35,173,2131,314,26,1257,74,"personalized tumbler,bridesmaid gift,bridal party gifts,bachelorette party,bachelorette gift,tumbler with straw,personalized gift,bridesmaid proposal,iced coffee cup,glass tumbler,personalized cup,birth flower glass,birth flower",United States,2023-06-26,yes,no,no,TheWhiteInviteGifts,https://www.etsy.com/listing/1496877142/personalized-birth-flower-iced-coffee
Personalized Tumbler Name Tag | 40oz 30oz | Name Plate | Quencher Lid Name Tag | Acrylic Name Plate ,12.0,141,567,144,35,480,49,"Tumbler Tag,Quencher Name Plate,Stanley Name Tag,Stanley Name Plate,Cup Name Tag,Cup Name Plate,Personalized Tumbler,40oz Tumbler Tag,30oz Tumbler Tag,Acrylic Tag,Quencher Name Tag,Tag for Tumbler Lid,Personalized Lid Tag",United States,2023-08-06,yes,no,no,SassyMonogramAndMore,https://www.etsy.com/listing/1524567856/personalized-tumbler-name-tag-40oz-30oz
First Day of School Sign Personalized Interchangeable Names Back to school board Reusable White Board Dry Erase Back to School Sign ,13.26,103,1442,292,20,1583,1,"1st grade vibes,1st day of school,first day of school,kindergarten shirt,retro school shirt,teacher shirt,personalized school,pre k vibes shirt,back to school shirt,back to school sign,back to school board,last day of school,personalized board",United States,2023-04-25,yes,no,no,LilyandMaxCo,https://www.etsy.com/listing/1454330322/first-day-of-school-sign-personalized
"30oz or 40oz Stanley Tumbler Name Plate, Personalized Name Tag for Stanley Lid, Name for Tumbler Lid, Stanley Cup Accessories ",11.0,102,651,146,28,669,19,"stanley name plate,stanley accessories,stanley cup,tumbler tag,tumbler name tag,name id tag tumblers,tumbler name plate,Custom Name Plate,Custom Name Tag,Personalized Tumbler,30oz Name Plate,40oz Name Plate,Name Plate,Name Tag,Stanley Cup Tag",United States,2023-07-29,yes,no,no,MementoCustomDesigns,https://www.etsy.com/listing/1533041557/30oz-or-40oz-stanley-tumbler-name-plate
"Personalized Blanket for Dog, Dog Blanket, plush dog blanket, dog name blanket, gift for dog lover, puppy name blanket, new puppy gift ",18.75,94,450,103,14,836,61,"custom name blanket,baby shower gift,personalized plush,baby gifts,soft name blanket,name blanket,personalized cat,dog blanket,blanket for dog,dog name blanket,puppy name blanket,name blanket for dog,new puppy gift",United States,2023-05-19,yes,no,no,HickoryMoments,https://www.etsy.com/listing/1470942668/personalized-blanket-for-dog-dog-blanket
"Personalized Custom Blanket, Baby Boy Blanket, Name Blanket, Boy Blanket Gift, Baby Blanket, Kids Blanket, Personalized Gift, Custom Gift ",17.95,88,155,22,5,77,10,"under 30,baby blanket,custom blanket,name blanket,baby shower gift,baby gift,personalized blanket,boy gift,baby boy blanket,Blue blanket,green blanket,baby blue blanket,baby boy",United States,2023-07-11,yes,no,no,TheLLCo,https://www.etsy.com/listing/1520742387/personalized-custom-blanket-baby-boy
Personalized Wedding Picture Frame | Engraved Anniversary Picture Frame | 5x7 Wedding Photo Frame in White | Custom Engraved Wedding Frame ,39.99,84,336,72,8,434,54,"custom wedding frame,custom wedding photo,wedding photo frame,personalized wedding,anniversary picture,anniversary frame,engraved wedding,custom wedding gift,5x7 wedding frame,anniversary photo,anniversary wife,simple wedding frame,white wedding frame",United States,2023-05-25,yes,no,no,28Collective,https://www.etsy.com/listing/1489814989/personalized-wedding-picture-frame
"Personalized Birth Flower Coffee Cup With Name, Personalized Birth Flower Glass Tumbler, Bridesmaid Proposal, Gifts for Her Be My Bridesmaid ",9.35,81,781,115,12,470,59,"personalized tumbler,bridesmaid gift,personalized gift,bridesmaid proposal,iced coffee cup,glass tumbler,birth flower glass,birth flower,be my bridesmaid,bridesmaid gifts,glass soda can,flower coffee glass,birth flower gift",United States,2023-07-01,yes,no,no,TheWhiteInviteGifts,https://www.etsy.com/listing/1514237981/personalized-birth-flower-coffee-cup
"Personalized Island Water Bottle, Stainless Steel Lover Tumbler, White Island Inspired Tumbler, Bridesmaids Gift, Sports Lid Bottle ",21.95,76,346,73,16,195,12,"coffee addict,on the go tumbler,tropical tumbler,island cup,bridal gifts,White Island tumbler,love tumbler,bachelorette party,personalized tumbler,gifts under 20,vacation tumbler,water bottle",United States,2023-07-02,yes,no,no,thecraftyinu,https://www.etsy.com/listing/1500753042/personalized-island-water-bottle
Stanley Tumbler Pouch Water Bottle Pouch Water Bottle Carrier Travel Accessory for Stanley Accessories for Hiking Gift Camping Gift for Mom ,28.0,75,211,31,2,740,3,"stanley tumbler,stanley backpack,water bottle pouch,water bottle carrier,hiking gift,camping gift,travel gift,stanley quencher,personalized stanley,engraved stanley,custom stanley,tumbler zipper pouch,stanley water pouch",United States,2023-05-20,yes,no,no,BeyondBraveStudio,https://www.etsy.com/listing/1471835204/stanley-tumbler-pouch-water-bottle-pouch
Acrylic Engaged Ornament Engagement Ornament Gift Engagement Party Gift Personalized Engagement Gift Custom Engagement Gift w Names No.389 ,24.8,71,614,108,10,1321,85,"Christmas ornament,Christmas gift,Engagement Gifts,Gifts for Couple,personalized gift,Engagement ornament,Engagement party,gift for her,gift for him,Custom Ornament,engaged ornament,keepsake,acrylic ornament",United States,2023-04-06,yes,no,no,HelloDelicious,https://www.etsy.com/listing/1455152777/acrylic-engaged-ornament-engagement
"Personalized Glass Tumblers with Straws For Bridesmaid Gifts, Iced Coffee Cup For Party Favors, 16oz Glass Cans For Bachelorette Parties ",5.6,65,330,70,9,127,26,"glass tumbler,iced coffee cup,party favors,mason jar tumbler,tumbler with straw,iced coffee glass,bamboo lid,bridal party gifts,bachelorette gift,personalized tumbler,frosted glass cup,girls trip tumblers,Bridesmaid Gifts",United States,2023-05-19,yes,no,no,SincerelyMeGift,https://www.etsy.com/listing/1485035819/personalized-glass-tumblers-with-straws
"Personalized Custom Blanket, Baby Girl Blanket, Name Blanket, Girl Blanket Gift, Baby Blanket, Kids Blanket, Personalized Gift, Custom Gift ",18.86,61,798,165,13,384,16,"personalized,name blanket,baby blanket,baby name blanket,personalized blanket,blanket,custom blanket,baby girl,custom baby blanket,under 30,girl gift,baby shower gift,baby gift,rainbow pink name,toddler gift,baby girl blanket",United States,2023-04-12,yes,no,no,TheLLCo,https://www.etsy.com/listing/1459397927/personalized-custom-blanket-baby-girl
"Personalized Baby Blanket, Embroidered Lion Blanket, Safari Babies Newborn Boy gift, Baby Shower Gift, Animal Baby Blanket, Woodland Baby ",41.4,60,586,118,12,1773,63,"baby blanket,baby shower gift,shower gift,newborn blanket,girl blanket,personalized blanket,monogram blanket,newborn gift,baby nursery,stroller blanket,baby shower,safari blanket,lion blanket",United States,2023-04-05,yes,no,no,babyboos,https://www.etsy.com/listing/1440413452/personalized-baby-blanket-embroidered
"Personalized Halloween Tumbler Tag, Ghost, Floral,40oz, Name for lid, Tumbler Name plate ",12.0,58,152,33,12,577,75,"Halloween Tumbler,Spooky Season,Tumbler Lid Name,Back to School Sign,Personalized Gifts,Floral Ghost,Pink Lover,Personalized Gift,Black Cat Decor",United States,2023-08-07,yes,no,no,TheCottageCraftsCo,https://www.etsy.com/listing/1539164579/personalized-halloween-tumbler-tag-ghost
Baby Blanket Sets - Personalized Plush Minky Name Blankets with Hats or Bows ,9.5,57,372,72,2,232,10,"personalized minky,custom baby blanket,baby shower gift,newborn announcement,baby name,personalize,monogram,blanket hat set,baby gift set,bow,hat,set,personalized gift",United States,2023-04-09,yes,no,no,SugarHouseSwaddles,https://www.etsy.com/listing/1457505311/baby-blanket-sets-personalized-plush
