title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Pumpkin Spice Latte Plush Crochet PATTERN - Amigurumi ,Toys & Games > Toys > Stuffed Animals & Plushies,4.75,77,253,42,14,389,65,"crochet pattern,amigurumi,amigurumi pattern,pumpkin spice latte,psl plush,pumpkin crochet,fall crochet pattern,fall amigurumi,pumpkin amigurumi,cute amigurumi,crochet latte,crochet dessert",United States,2023-08-16,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1545806119/pumpkin-spice-latte-plush-crochet
DnD Spell Cards BUNDLE | All Cantrips to Level 9 Illustrated cards | Dungeons and Dragons 5e | d&d Spellbook | Tarrot size cards ,Toys & Games > Games & Puzzles > Role Playing Games,33.64,73,167,39,4,638,57,"Dnd spell cards,Dm props download,beginner dnd5e help,character sheet pdf,spellbook wizard,dnd spellcards 5e,deck of many things,dungeons and dragons,d and d art,illustrated cards 5e,tasha volo xanathars,dnd printables prop,dnd gift accessory",United States,2023-06-13,yes,no,no,DemiDice,https://www.etsy.com/listing/1487812116/dnd-spell-cards-bundle-all-cantrips-to
"Low Sew Bee PDF, Crochet Instructions ",Toys & Games > Toys > Stuffed Animals & Plushies,4.25,70,1391,203,4,808,12,"Kaytedids,bee,crochet bee,low sew,no sew",United States,2023-06-12,yes,no,no,KayteDids,https://www.etsy.com/listing/1501380379/low-sew-bee-pdf-crochet-instructions
"No Sew Chonky Axolotl Crochet Pattern, Amigurumi Instructions, Animal Crochet Pattern, Birthday Gift, Quick Pattern ",Toys & Games > Toys > Stuffed Animals & Plushies,3.95,33,905,177,8,1100,42,"quick,blanket yarn,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,no sew,axolotl,crochet axolotl",United States,2023-06-12,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1501531367/no-sew-chonky-axolotl-crochet-pattern
"Chonky Cat Crochet Pattern, Amigurumi Instructions, Animal  Crochet Pattern, Birthday Gift, Low Sew ",Toys & Games > Toys > Stuffed Animals & Plushies,3.95,28,1307,266,9,2091,37,"quick,blanket yarn,low sew,kitten,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,cat,chonky",United States,2022-10-27,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1320049226/chonky-cat-crochet-pattern-amigurumi
Preschool Curriculum | 1000+ Preschool Workbook with Preschool worksheets ,Toys & Games > Toys > Learning & School,3.62,22,1167,116,14,1321,92,"preschool workbook,pre school busy book,pre school learning,learning activities,toddler learning,printable activities,preschool activities,letter tracing,preschool curriculum,busy book,Preschool worksheets,preschool math,Pre k worksheets",United States,2023-04-30,yes,no,no,TheLuckyPrinter,https://www.etsy.com/listing/1457712822/preschool-curriculum-1000-preschool
Stevie the Sloth/Sloth Crochet Pattern/Low Sew Crochet Pattern ,Toys & Games > Toys > Stuffed Animals & Plushies,5.75,19,1297,232,3,2490,59,"no sew pattern,crochet pattern,crochet,amigurumi,no sew crochet,plushie,plushie pattern,sloth crochet,sloth,sloth pattern",United States,2022-10-24,yes,no,no,StitchinwithAbby,https://www.etsy.com/listing/1331912291/stevie-the-slothsloth-crochet-patternlow
Thicc Mushroom Lady - Fantasy Amigurumi Mushroom Crochet Pattern Download ,Toys & Games > Toys > Stuffed Animals & Plushies,6.0,19,253,36,2,2072,101,"mushroom crochet,fantasy amigurumi,cottagecore pattern,whimsical nature,crochet mushroom,cute fairy sprite,shroom fae nymph,sexy butt boob,funny doll plant,alternative whimsy,Curvy Girl Plus Size,buttshroom booty,goddess sexy crochet",United States,2023-05-22,yes,no,no,MushroomFableCrochet,https://www.etsy.com/listing/1473480880/thicc-mushroom-lady-fantasy-amigurumi
PDF- Colored Cube Patterns Activity Cards- Instant ,Toys & Games > Toys > Learning & School,2.54,16,57,10,0,94,3,"special education,Montessori toy,Montessori Materials,Montessori printable,preschool curriculum,preschool patterns,preschool math,homeschool printable,digital download,instant download,homeschool preschool,toddler activities,preschool printables",United States,2022-12-07,yes,no,no,DIYLearningStore,https://www.etsy.com/listing/1350817888/pdf-colored-cube-patterns-activity-cards
Morning Flip Done Routine Chart I Toddler Routines I Morning Visual Schedule I Kids Routine Chart I Ready for School Chart ,Toys & Games > Toys > Learning & School,6.0,15,264,21,3,459,35,"velcro routine chart,kids routine chart,visual schedule,toddler routine,morning routine,printable routine,flip done routine,editable routine,school morning,ready for school,morning checklist,editable morning",United States,2023-02-28,yes,no,no,DabbleRoutines,https://www.etsy.com/listing/1427363163/morning-flip-done-routine-chart-i
"Immersive 100+ Pack of Dungeons and Dragons Battle Maps with Gridlines - Druid Groves, Dungeons, Taverns, and More ",Toys & Games > Games & Puzzles > Role Playing Games,10.0,13,329,66,8,1303,101,"Battle maps,Dungeon settings,Gaming supplies,Tabletop gaming,RPG accessories,Dungeons and Dragons,DnD,Critical Role,Vox Machina,Gridline maps,Druid groves,Tavern encounters,Tactical elements",United States,2023-05-28,yes,no,no,InkedInsight,https://www.etsy.com/listing/1491210441/immersive-100-pack-of-dungeons-and
Ultimate Morning Time Bundle | Morning Menu | Homeschool Printable | Preschool Resources | Circle Time | Calendar Weather Prewriting Pages ,Toys & Games > Toys > Learning & School,7.95,12,282,37,6,752,44,"morning time,circle time,morning menu,homeschool printable,preschool resource,calendar,weather worksheet,traceable calendar,kids workbook,morning workbook,busy book,homeschool,prewriting pages",United States,2022-10-06,yes,no,no,SchoolhouseCottageCo,https://www.etsy.com/listing/1319527083/ultimate-morning-time-bundle-morning
Mini + Midi Porcini Mushroom Pattern - PATTERN - PDF ONLY ,Toys & Games > Toys > Stuffed Animals & Plushies,7.0,12,284,64,3,891,33,"Crochet,Crochet Patterns,Pattern,Amigurumi Patterns,Mushroom,Crochet Mushroom,Plushie,Plush,Lovey,Crochet Toys,Crochet Plush",United States,2023-03-13,yes,no,no,GoldnSpun,https://www.etsy.com/listing/1437192119/mini-midi-porcini-mushroom-pattern
"Stoney Bear Crochet Pattern *PDF PATTERN ONLY*, Care Bear Inspired Crochet, Weed Crochet, Weed Bear Pattern ",Toys & Games > Toys > Stuffed Animals & Plushies,7.5,12,559,123,0,2662,52,"Care Bear,Weed Bear,Pot Bear,Stoney Bear Pattern",United States,2023-03-23,yes,no,no,AmethystCrochetStore,https://www.etsy.com/listing/1430747252/stoney-bear-crochet-pattern-pdf-pattern
Mystic Skies | Printable DnD Character Sheet PDF for Dungeons and Dragons 5e ,Toys & Games > Games & Puzzles > Role Playing Games,3.83,11,388,69,0,1142,36,"DnD,Character Sheet,Printable,PDF,5e,Dungeons and Dragons,ttrpg,Pretty,Wizard,Celestial,Stars,color book",United States,2022-11-03,yes,no,no,TheBronzeBowShop,https://www.etsy.com/listing/1338525873/mystic-skies-printable-dnd-character
Crochet Baby Dungaree Cow PATTERN ,Toys & Games > Toys > Stuffed Animals & Plushies,4.2,11,1899,522,7,9277,49,"pattern,crochet,cow,overalls,cute,amigurumi,crochet pattern,amigurumi pattern,crochet cow pattern,cute pattern",United States,2022-10-31,yes,no,no,LorettasLoops,https://www.etsy.com/listing/1336054687/crochet-baby-dungaree-cow-pattern
"Koala Crochet Pattern, Low Sew Amigurumi Instructions, Crochet Koala, Cute Birthday Gift ",Toys & Games > Toys > Stuffed Animals & Plushies,4.95,10,288,89,3,590,14,"birthday gift,blanket yarn,crochet instructions,plush,crochet,handmade,stuffed animal,crochet pattern,plushie,amigurumi,koala,crochet koala,koala pattern",United States,2023-03-22,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1430441312/koala-crochet-pattern-low-sew-amigurumi
Busy Book Printable Toddler Activities Montessori Homeschool Resources Preschool Pre-K Kids Learning Materials ,Toys & Games > Toys > Learning & School,11.67,10,545,126,7,2499,88,"Busy Book,Learning Binder,Preschool,Toddler,Homeschool,quiet book,kids activities,weather,counting,DIY,alphabet,printable",United States,2022-11-15,yes,no,no,TheHarvestAtHome,https://www.etsy.com/listing/1346966039/busy-book-printable-toddler-activities
Gothic Vampire | Printable DnD Character Sheet PDF for Dungeons and Dragons 5e ,Toys & Games > Games & Puzzles > Role Playing Games,3.83,10,332,57,2,1007,60,"DnD,Character Sheet,PDF,5e,Dungeons and Dragons,ttrpg,Vampire,Gothic,Color Book,Printable,Bat,Curse of Strahd",United States,2023-05-10,yes,no,no,TheBronzeBowShop,https://www.etsy.com/listing/1464652852/gothic-vampire-printable-dnd-character
"Bunny Crochet Pattern, Low Sew Rabbit Amigurumi Instructions, Overalls,  Birthday Gift, Easter Gift ",Toys & Games > Toys > Stuffed Animals & Plushies,4.95,9,596,147,1,538,2,"bunny,crochet instructions,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,crochet bunny,crochet rabbit,easter,easter crochet",United States,2023-02-25,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1424981437/bunny-crochet-pattern-low-sew-rabbit
PATTERN ONLY *** mocha brown cafe bunny amigurumi crochet pattern ,Toys & Games > Toys > Stuffed Animals & Plushies,4.5,9,206,55,0,1939,18,"Toys & Games,Toys,Stuffed Animals & Plushies,Amigurumi",United States,2022-12-30,yes,no,no,SadieCrocheting,https://www.etsy.com/listing/1381848193/pattern-only-mocha-brown-cafe-bunny
Snap The Penguin *MOD* ,Toys & Games > Toys > Stuffed Animals & Plushies,1.2,8,363,56,1,668,25,"penguin,crochet penguin,bigmommabowers,penguin costume,crochet pattern,penguin shark,shark penguin",United States,2023-06-03,yes,no,no,BigMommaBowers,https://www.etsy.com/listing/1495509179/snap-the-penguin-mod
Crochet Pattern | Bubble Bong Pattern ,Toys & Games > Toys > Stuffed Animals & Plushies,4.22,7,265,56,4,563,9,"crochet patterns,hotoffthehookbycatie,market makes",United States,2023-04-26,yes,no,no,HotofftheHookbyCatie,https://www.etsy.com/listing/1469229621/crochet-pattern-bubble-bong-pattern
Giant Bat Crochet *Pattern* ,Toys & Games > Toys > Stuffed Animals & Plushies,6.74,7,325,60,0,1938,26,"giant bat,crochet pattern,emotional support,big plush,kawaii,huge stuffed animal,handmade,purple,bat,crochet,giant plushy,support plushy,support bat",United States,2023-03-19,yes,no,no,OctopusArmyCrochet,https://www.etsy.com/listing/1427940630/giant-bat-crochet-pattern
Visual Supply Cards for Classroom Directions | Back to School | Classroom Decor ,Toys & Games > Toys > Learning & School,7.0,7,516,74,5,1123,21,"back to school,homeschool,teacher,elementary school,teacher games,classroom,elementary classroom,homeschool game,kids school,printable,classroom management,visual cues,autism",United States,2022-10-29,yes,no,no,AimeesEdventuresLLC,https://www.etsy.com/listing/1334894255/visual-supply-cards-for-classroom
Bedtime Flip Done Routine Chart I Toddler Routines I Visual Schedule I Kids Evening Routine ,Toys & Games > Toys > Learning & School,6.0,7,251,24,2,616,21,"velcro routine chart,toddler routine,bedtime routine,bedtime chart,kids routine,printable routine,visual schedule,toddler bedtime,bedtime printable,routine chart,evening routine,flip done chart,editable bedtime",United States,2023-03-03,yes,no,no,DabbleRoutines,https://www.etsy.com/listing/1415435676/bedtime-flip-done-routine-chart-i
Sweet & Groovy Classroom Decor Bundle | Printable Classroom Posters | Bulletin Board Letters | Elementary School | Teacher | 70s Retro Theme ,Toys & Games > Toys > Learning & School,30.0,7,136,13,0,216,9,"Classroom Decor,Bulletin Board,Classroom Posters,Elementary,Teacher,Printable,Classroom,Decor,Groovy,Retro,Groovy Classroom,Groovy Decor Bundle,Retro Decor Bundle",United States,2023-07-07,yes,no,no,HoneysuckleByB,https://www.etsy.com/listing/1503879272/sweet-groovy-classroom-decor-bundle
Cards Against ACOTAR | A Court of Thorn and Roses Games | ACOTAR Games | Digital Downloads | Sarah J. Maas | Rhysand | Feyre | ACOTAR Games ,Toys & Games > Games & Puzzles > Card Games,7.5,6,220,24,1,704,18,"acotar,rhysand,rhys and feyre,acotar fan art,sarah j maas,cards against,azriel,night court,acotar gifts,acotar poster,acotar wall art,acotar ring,pyrthian",United States,2023-01-10,yes,no,no,DownloadsByMonica,https://www.etsy.com/listing/1375927044/cards-against-acotar-a-court-of-thorn
Kindergarten - Summer Review - Worksheets - Printable - Homeschool - Teacher Resources - Instant Download ,Toys & Games > Toys > Learning & School,1.85,6,735,64,3,456,6,"Homeschool,Printable worksheet,Instant download,Kidzoneprintables,Counting worksheet,Teacher resources,Literacy Worksheets,Phonics worksheets,Summer worksheets,Summer activities,Kindergarten Review,Kindergarten work,Math Worksheets",United States,2023-04-19,yes,no,no,KidZonePrintables,https://www.etsy.com/listing/1450339766/kindergarten-summer-review-worksheets
Yo-Da Bomb Crochet pattern ,Toys & Games > Toys > Stuffed Animals & Plushies,3.0,6,604,80,1,437,14,"Baby Alien,Crochet alien,Kaiskreations,Plushie",United States,2022-11-20,yes,no,no,KaileynsKrafts,https://www.etsy.com/listing/1336734248/yo-da-bomb-crochet-pattern
Cheat Sheet Bundle | 8 pages | Nursing Notes | Digital Download | Nursing School Notes | Medication Guide | Pharmacology ,Toys & Games > Toys > Learning & School,1.64,5,281,35,2,320,7,"study,nurse,nursing school,nursing student,pharm,pharmacology,cheat sheet,study tool,quick reference,drug card,drug cards,Digital templates,Printable",United States,2023-04-27,yes,no,no,DigiMars,https://www.etsy.com/listing/1470322823/cheat-sheet-bundle-8-pages-nursing-notes
