title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Fleabag Poster - Designed & Illustrated Premium Matte Vertical Posters ,Craft Supplies & Tools,21.3,73,560,92,10,2156,111,"fleabag,fleabag art,fleabag poster,fleabag print,fleabag merch,fleabag design,fleabag tote,fleabag sticker,phoebe waller-bridge,flea bag,flea bag poster,evabird,evabirddesign",United States,2023-07-13,yes,no,no,evabirddesign,https://www.etsy.com/listing/1507857272/fleabag-poster-designed-illustrated
NEW Red 3.12 ,Craft Supplies & Tools,2.5,71,2508,395,14,604,26,"chenille letters,iron on letter,iron on patch,varsity letter,monogram letter,patch for bag,patch for hat,patch for cap,monogram patch,diy chenille letter,accessory patch",United States,2022-09-27,yes,no,no,stitchedoriginals,https://www.etsy.com/listing/1299482978/new-red-312-chenille-letters-silver
Orange Letter Patch - Self Adhesive & Iron On Chenille Alphabet Diy Gold Glitter Varsity Letter Perfect - Nylon Pouch cosmetic embroidery ,Craft Supplies & Tools,0.97,62,315,23,1,67,1,"orange chenille,cheer team,varsity letter bags,chenille letters,cosmetic nylon bag,iron on letter pouch,zippered makeup bags,letter pouch bags,nylon pouches,self adhesive patch,chenille patch,letter patches,orange varsity patch",United States,2023-01-14,yes,no,no,CasuallyCreativeInc,https://www.etsy.com/listing/1393110499/orange-letter-patch-self-adhesive-iron
Custom Dentist Glitter Refillable Gel Pen Tooth Print | Office Supplies | Personalized Name Resin Pens ,Craft Supplies & Tools,12.4,51,339,93,7,393,27,"Black ink pens,Custom glitter pens,Custom name pens,Back to school pens,Glitter pens,Refillable pens,Personalized Pens,White and Gold Pen,Mothers Day gift,Gift for moms,Gift for friends,Dentist Pen,Tooth Pen",United States,2023-04-12,yes,no,no,GlitterBabesLLC,https://www.etsy.com/listing/1459329347/custom-dentist-glitter-refillable-gel
Season's Greetings Quilt Pattern QLD226 - Paper ,Craft Supplies & Tools,10.0,49,389,46,0,86,0,"Craft Supplies & Tools,Patterns & How To,Patterns & Blueprints",United States,2022-12-10,yes,no,no,SherriQuilts,https://www.etsy.com/listing/1353006542/seasons-greetings-quilt-pattern-qld226
"Custom BUTTERFLY Book Embosser | Monogram Book Stamp Embosser | Rubber Stamp, Self Inking Stamp or Embosser ",Craft Supplies & Tools,24.0,48,452,104,3,1418,48,"book embosser,embosser,ex libris,embossers,custom book embosser,book stamp,from the library of,this book belongs to,read it love it,custom embosser,embosser stamp,library embosser,butterfly stamp",United States,2022-12-09,yes,no,no,PickledStamps,https://www.etsy.com/listing/1352178430/custom-butterfly-book-embosser-monogram
"Fantasy Sword Book Embosser Personalised | Book Stamp | Rubber Stamp, Self Inking Stamp or Embosser | SKU: STL060 ",Craft Supplies & Tools,22.41,48,1401,405,17,3929,292,"book embosser,book emboss,book stamp emboss,library embosser,library stamp,stamp embosser,embosser,book stamp,embossing stamp,from the library of,stamp custom,custom embosser,book plate embosser",United States,2023-01-05,yes,no,no,DelightfulStamps,https://www.etsy.com/listing/1386229483/fantasy-sword-book-embosser-personalised
"14k Gold Filled with 925 Sterling Silver Beads Satellite Chain, Satellite Chain, Bead Chain, Gold Filled Chain, Permanent Jewelry. 0111861GF ",Craft Supplies & Tools,19.0,45,104,13,3,176,26,"gold filled supply,gold chain by foot,gold cable chain,gold wholesale chain,gold fill cable,flat link chain,tiny gold chain,dainty shiny chain,gold shimmer chain,permanent jewelry,satellite chain,bead chain,jewels and chains",United States,2023-07-19,yes,no,no,Jewelsandchains,https://www.etsy.com/listing/1511765330/14k-gold-filled-with-925-sterling-silver
Diamond Painting Section Frames | November Diamond Paints ,Craft Supplies & Tools,4.0,43,2206,618,19,1309,23,"diamond painting,diamond paint,section frame,vinyl,dp,release paper,dp accessories,diamond paint tool,vinyl section,dp sections,novemberdiamondpaint,tiktok sections",United States,2023-01-09,yes,no,no,ShopTeamSantana,https://www.etsy.com/listing/1389371265/diamond-painting-section-frames-november
"NEW White Game Day Chenille Patch, iron on patch, game day, diy patch ",Craft Supplies & Tools,9.99,40,70,9,2,227,43,"Game day,game day patch,Football season,iron on patch,football patch,Chenille patch,chenille game day,fun patch,Patch for bag,Patch for mom,thanksgiving,sequin football",United States,2023-08-19,yes,no,no,stitchedoriginals,https://www.etsy.com/listing/1533300588/new-white-game-day-chenille-patch-iron
"Bee Book Embosser Personalized | Bee Library Embosser Stamp | Rubber Stamp, Self Inking Stamp or Embosser | SKU: STL075 ",Craft Supplies & Tools,22.41,39,648,162,1,1187,69,"book embosser,embosser stamp,embosser,library embosser,book stamp embosser,from the library of,custom embosser,personalize embosser,personal library,bee book embosser,bee book stamp,bee library stamp,emboss personalize",United States,2022-11-24,yes,no,no,DelightfulStamps,https://www.etsy.com/listing/1354059655/bee-book-embosser-personalized-bee
