title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"The Mini Merbabies Amigurumi Pattern, crochet mini merbaby plushie pattern only ",Craft Supplies & Tools,12.0,131,373,97,8,525,16,"amigurumi mermaid,crochet mermaid doll,amigurumi doll,mermaid,crochet mermaid,poms and posies,ocean friends,sea friends,summer crochet,amigurumi merbaby,crochet mini mermaid",United States,2023-07-02,yes,no,no,PomsandPosiesUS,https://www.etsy.com/listing/1500634922/the-mini-merbabies-amigurumi-pattern
"Ghost Libbey Glass Svg, 16oz Glass Can Wrap, Boho Ghost Glass Can Svg, Fall Glass Cup Svg, Libbey Glass 16oz Wrap, Halloween Can Glass Svg ",Craft Supplies & Tools,3.99,115,469,48,12,1179,111,"ghost svg,fall libbey wrap,halloween glass wrap,Halloween Can Glass,halloween libbey svg,Glass Can Svg,Fall Glass Cup Svg,Libbey Glass Svg,16oz Glass Can Wrap,fall cup wrap,ghost Cup Wrap,Glass Cup Svg,boho halloween",United States,2023-06-24,yes,no,no,BobaAndBearSvg,https://www.etsy.com/listing/1509608499/ghost-libbey-glass-svg-16oz-glass-can
Ghost in Bathtub Wall Art Halloween Decor Gothic Art Dark Academia Haunting Ghost Vintage Oil Painting Bubble Bath Ghost ,Craft Supplies & Tools,16.18,93,149,23,9,1106,118,"oil painting,halloween decoration,dark academia,vintage poster,ghost art print,ghost painting,gothic painting,victorian wall art,halloween art,bathroom decor,canvas wall art,halloween painting,ghost oil painting",United States,2023-07-21,yes,no,no,DesignandDyeShop,https://www.etsy.com/listing/1513204142/ghost-in-bathtub-wall-art-halloween
"14k gold filled footage chain, wholesale bulk chain for permanent jewelry supplies, paperclip chain, dapped bar chain, satellite chain ",Craft Supplies & Tools,8.02,90,2934,288,7,1612,40,"bulk chain,permanent jewelry,footage chain,paperclip chain,flat cable chain,rope chain,satellite chain,curb chain,gold filled chain,wholesale chain,rolo chain,dapped bar chain,long and short bar",United States,2023-03-01,yes,no,no,bayandstew,https://www.etsy.com/listing/1414061298/14k-gold-filled-footage-chain-wholesale
I match energy SVG PNG Energy Svg Funny quote Svg Sassy Svg Hustler png Skeleton Snarky Svg Retro Png Sarcastic Funny Png for Sublimation ,Craft Supplies & Tools,1.73,80,246,23,4,332,50,"Energy svg,sarcastic svg,attitude svg,antisocial svg,boss lady svg,boss babe svg,sarcastic quotes,do not disturb,funny mom svg,girl boss svg,protect your energy,witchy svg,skeleton svg",United States,2023-06-10,yes,no,no,DigitalPresentCO,https://www.etsy.com/listing/1485962834/i-match-energy-svg-png-energy-svg-funny
EXCLUSIVE Cat in Yarn Basket Silicone Focal Beads ,Craft Supplies & Tools,1.5,76,281,35,2,200,16,"keychain beads,silicone bead,keychain focal,focal beads,wristlets,Beadable Keychains,mechanical pencil,beadable pencil,silicone focal,silicone beads,weeding tool bead,cookie scribe bead,beadable item",United States,2023-06-17,yes,no,no,Jitistouch,https://www.etsy.com/listing/1505036471/exclusive-cat-in-yarn-basket-silicone
"Rustic Farmhouse Fall svg bundle, autumn sign svg, fall svg, pumpkin patch svg, thanksgiving svg, farm fresh svg, porch sign svg, cut file ",Craft Supplies & Tools,1.49,73,362,30,6,404,56,"farmhouse sign svg,rustic svg,door hanger svg,rustic fall svg,autumn sign svg,fall svg,autumn svg,pumpkin patch svg,fall truck svg,thanksgiving svg,farm fresh svg,sign svg,porch sign svg",United States,2023-07-03,yes,no,no,azdigitaldesigns,https://www.etsy.com/listing/1515545717/rustic-farmhouse-fall-svg-bundle-autumn
"Softball Mom Svg Bundle, Somebody's Loud Mouth Softball Mama Svg Png, Softball Shirt Svg, Softball Mom Life Svg, Sports Mama Cut File Cricut ",Craft Supplies & Tools,1.79,72,547,38,3,303,15,"softball mom svg,softball mama svg,somebodys loud mouth,softball mom png,sports mom svg,mom life svg,mom shirt svg,softball mom life,game day svg,cricut cut file,sublimation design,sports shirt svg,mom tumbler svg",United States,2023-03-19,yes,no,no,WinksandTwinkles,https://www.etsy.com/listing/1442047905/softball-mom-svg-bundle-somebodys-loud
"Mega Christmas SVG Bundle, Winter svg, Funny Christmas SVG, T Shirt Designs SVG, Ornaments svg, xmas svg, Santa svg, Quote svg, Cricut ",Craft Supplies & Tools,0.98,65,978,89,2,299,26,"Mega Bundle SVG,SVG files for cricut,cricut svg,christmas svg,round ornament svg,christmas svg bundle,christmas cut file,ornament svg,winter svg,merry Christmas svg,Funny christmas svg,Christmas shirt svg,citragraphics",United States,2022-11-01,yes,no,no,CitraGraphics,https://www.etsy.com/listing/1322913150/mega-christmas-svg-bundle-winter-svg
PATTERN ONLY: Crochet Mini Turtle Bag / Small Pouch / Bag Charm / Car Hanging ,Craft Supplies & Tools,5.0,65,602,100,11,967,19,"oh me oh my crochet,ohmeohmycrochet,crochet pattern,small bag pattern,crochet bag pattern,crochet turtle,turtle pattern,crochet turtle bag,turtle bag,turtle pouch,car hanging pattern",United States,2023-07-07,yes,no,no,OhMeOhMyCrochet,https://www.etsy.com/listing/1503813398/pattern-only-crochet-mini-turtle-bag
