title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"500+ Mega Lightroom Preset Bundle, Boho Photo Filters for Instagram, Neutral Aesthetic Presets for Influencers, Rustic Moody Photo Presets ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.97,91,3605,403,15,1644,26,"Lifestyle Presets,Influencer Presets,Bright Presets,Natural Presets,Instagram Filters,Warm Presets,Aesthetic Presets,Rustic Presets,Photographer Presets,Wedding Presets,Summer Travel Preset,Film Presets,Fall Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1460493279/500-mega-lightroom-preset-bundle-boho
"2,000+ Mobile VIDEO Filters | Influencer Video Editing for Instagram Bloggers, LUTS for Lifestyle Vlog, Moody Video Filters for Social Media ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,7.97,77,480,47,1,898,26,"Video Editing,Instagram Reels,TikTok Video Filters,Lifestyle Filters,Blogger Filters,Travel Filters,VN Filters,Influencer Filters,Fashion Filters,Final Cut Pro Lut,Moody Edits,Luxury Filters,Adobe Premier Pro",United States,2022-10-25,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1318264466/2000-mobile-video-filters-influencer
"120+ Lightroom Preset Bundle | Aesthetic Wedding Presets, Natural Instagram Photo Preset, Warm Golden Hour Professional Photographer Presets ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.97,50,517,84,5,624,35,"Dark Skin Presets,Instagram Presets,Preset Bundle,Summer Presets,Aesthetic Presets,Luxury Presets,Natural Presets,Golden Hour Presets,Photographer Presets,Wedding Presets,Elopement Presets,Engagement Presets,Warm Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1446286480/120-lightroom-preset-bundle-aesthetic
10 RUSTIC LIGHTROOM mobile & desktop PRESETS | Film Presets | Brown Presets | Cottagecore presets | Bohemian Preset | Retro Moody Presets ,Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,2.7,34,1322,86,1,915,12,"lightroom presets,warm presets,lightroom mobile,mobile presets,instagram filters,instagram presets,neutral presets,boho presets,moody presets,earthy presets,coffee presets,cottage core preset,aesthetic presets",United States,2023-02-23,yes,no,no,FilAndEllieStudio,https://www.etsy.com/listing/1423614209/10-rustic-lightroom-mobile-desktop
"150+ Film Lightroom Preset Bundle, Retro Boho Presets for Instagram, Vintage Mobile Influencer Preset for Bloggers, Disposable Camera Preset ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.97,28,809,80,3,1071,56,"Lifestyle Presets,VSCO Filter,Vintage Presets,Instagram Presets,Influencer Presets,Film Presets,Natural Presets,Flash Presets,Retro Presets,Aesthetic Presets,Film Camera Presets,Analog Presets,Film Preset Bundle",United States,2023-03-24,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1431950416/150-film-lightroom-preset-bundle-retro
"50+ 35MM FILM Lightroom Mobile & Desktop Preset, Blogger Presets, Film Aesthetic Preset, Vintage Analog Film, Instagram Film Grain Filter ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,2.7,22,154,15,0,232,11,"instagram presets,lightroom presets,mobile presets,film presets,grainy presets,analog preset,35mm presets,retro film preset,film bundle preset,preset bundle,preset collection,fuji presets,kodak presets",United States,2023-05-11,yes,no,no,FilAndEllieStudio,https://www.etsy.com/listing/1465608554/50-35mm-film-lightroom-mobile-desktop
"12 WEDDING Lightroom Presets, Mobile & Desktop Lightroom Presets, Bright Elegant Wedding Presets, Couple Love Preset, Light airy Preset ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,0.98,19,405,36,0,288,4,"wedding presets,wedding preset,wedding filter,lightroom presets,portrait preset,couple preset,professional preset,outdoor preset,boho preset,boho wedding,engagement presets,marriage preset,love couple preset",United States,2023-01-28,yes,no,no,KatherineDream,https://www.etsy.com/listing/1389934156/12-wedding-lightroom-presets-mobile
"14 BOUDOIR Lightroom Presets, Mobile & Desktop Presets, Luxury elegant presets, Lightroom Presets, Instagram Presets, Boudoir photo filter ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,1.68,18,891,48,0,336,5,"boudoir presets,boudoir filter,Lightroom Presets,preset lightroom,desktop presets,moody presets,influencer presets,influencer filter,skin presets,portrait presets,elegant presets,blogger preset,model presets",United States,2022-12-14,yes,no,no,KatherineDream,https://www.etsy.com/listing/1356756126/14-boudoir-lightroom-presets-mobile
"2000+ FILM Lightroom Mobile & Desktop Presets, Film Preset, Vintage Grain Presets, Instagram filter, Analog 35 mm Presets, Aesthetic Retro ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.05,16,113,9,0,102,3,"lightroom presets,film presets,influencer filter,lightroom mobile,lifestyle preset,vintage film preset,film preset,retro presets,35mm preset,disposable preset,natural preset,photo presets,analog flash presets",United States,2023-06-20,yes,no,no,KatherineDream,https://www.etsy.com/listing/1507364125/2000-film-lightroom-mobile-desktop
"2000+ LIGHTROOM Presets BUNDLE, Summer Presets, Lifestyle Influencer Blogger Preset, Dark black Blogger Mobile & Desktop Preset, vsco filter ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.38,16,10874,656,8,1779,7,"Electronics & Accessories,Cameras & Equipment,Presets & Photo Filters",United States,2023-01-06,yes,no,no,KatherineDream,https://www.etsy.com/listing/1372634996/2000-lightroom-presets-bundle-summer
