title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Silent Cat Tag - Cat Tag - Cat Collar Silicone Tag - Slide On Cat Tag - Silent Cat ID Tag -Custom Cat Name Tag-Silicone Small Cat Tag Black ,Pet Supplies > Pet Collars & Leashes > Pet ID Tags,5.9,88,679,201,26,448,35,"Cat Tag,Cat Collar Tag,Cat Name Tag,Cat Id Tag,Cat tag engraved,silent cat tag,silicone cat tag,slide on pet tag,Cat gifts,Silicone Pet Tag,Custom Pet ID Tag,personalized cat tag",United States,2023-04-17,yes,no,no,CookiePetTag,https://www.etsy.com/listing/1449062774/silent-cat-tag-cat-tag-cat-collar
Dog Tag - Custom Silent Dog Tag - Dog Tags For Dogs - Personalized Silent Dog Name Tags Bone Shape - Dog Id Tag Phone with Paw Print Icon ,Pet Supplies > Pet Collars & Leashes > Pet ID Tags,10.09,80,305,73,7,574,29,"Dog Tag,Dog Tags For Dogs,Slide On Dog Tag,Slide On Pet Id Tag,Silent Dog Tag,Dog Id Tag Slide On,Dog Id Tag Slide,Silent Dog Name Tags,Silent Pet Name Tag,Custom Dog Tag,Dog Tag Personalized,Gift for pets,Bone Silent Dog Tag",United States,2023-03-02,yes,no,no,TheSingingKoala,https://www.etsy.com/listing/1415016670/dog-tag-custom-silent-dog-tag-dog-tags
"Personalized Cat Collar, Velvet Light Weight Collar, Engrave Cat Name & Phone Number, Keep Your Cat Secure ",Pet Supplies > Pet Collars & Leashes > Pet Collars & Jewelry,5.89,69,1081,231,19,966,53,"cat collar,kitten gift,cat gift,custom cat collar,cat tag,boy cat tag,kitten collar,pet collar,cat bell,cat name tag,velvet cat collar",United States,2022-12-06,yes,no,no,BwnBwn,https://www.etsy.com/listing/1349829100/personalized-cat-collar-velvet-light
Silent Dog Tag - Dog Tag - Dog Tags for Dogs Personalized - Dog Name Tag - Custom Dog Tag Silent - Gift for New Pet ,Pet Supplies > Pet Collars & Leashes > Pet ID Tags,5.49,62,214,40,3,189,4,"Dog Tag,Dog Tags For Dogs,Slide On Dog Tag,Slide On Pet Id Tag,Dog Id Tag Slide On,Dog Id Tag Slide,Silent Pet Name Tag,Custom Dog Tag,Dog Tag Personalized,Silent Dog Tag,silicone dog tag,Black Dog Tag,Gift for Pets",United States,2023-03-02,yes,no,no,TheSingingKoala,https://www.etsy.com/listing/1429203195/silent-dog-tag-dog-tag-dog-tags-for-dogs
"Engraved Pet ID Tag, Mountain Dog Tag for Dogs, Personalized Pet ID Tag, Rose Gold Dog Tag, Nature Trees Custom Dog Tag ",Pet Supplies > Pet Collars & Leashes > Pet ID Tags,9.4,54,505,86,1,262,8,"pet tag,dog tag,tag for dog,personalized pet id,dog tag for dog,pet id tag,engraved,custom dog tag,mountain dog tag,nature tree,pet id tag for dog,tag for boy dog,id tag mountain",United States,2022-09-18,yes,no,no,HomeSweetPet,https://www.etsy.com/listing/1293524272/engraved-pet-id-tag-mountain-dog-tag-for
"Moon Dog Tag, Engraved Mountain Dog ID Tag, Tree Pet ID Tag for Dogs, Personalized Pet ID Tag for Dog ",Pet Supplies > Pet Collars & Leashes > Pet ID Tags,9.4,51,544,112,2,304,0,"pet tag,dog tag,tag for dog,personalized pet id,dog tag for dog,engraved dog tag,pet id tag,dog id tag,pet id tag engraved,crescent moon,moon dog tag,pet id tag for dog,dog id tag trees",United States,2022-09-26,yes,no,no,HomeSweetPet,https://www.etsy.com/listing/1298665966/moon-dog-tag-engraved-mountain-dog-id
"Dog Loss Gift, Dog Memorial Garden Stone, Pet Memorial Gift, In Memory, Dog Pet Loss, Bereavement Gift, Dog Headstone, Cat Memorial ",Pet Supplies > Urns & Memorials > Pet Grave Markers,15.26,47,194,33,9,266,33,"Pet Memorial Gift,In Memory,Dog Pet Loss,Bereavement Gift,Outdoor Memorial,Dog Memorial,Garden Stone,Dog Loss,Gift for Dog Loss,Gift for Pet Loss,Cat Memorial,Cat loss,Dog Grave Marker",United States,2023-06-20,yes,no,no,BlackButterflySigns,https://www.etsy.com/listing/1507031101/dog-loss-gift-dog-memorial-garden-stone
Personalized Gold Dog Tag Custom Engraved ID for Dogs Microchip - Optima ,Pet Supplies > Pet Collars & Leashes > Pet ID Tags,20.0,43,114,17,2,105,13,"Gold pet tag,Round pet tag,Personalized pet tag,Engraved pet tag,Custom pet tag,Pet ID tag,Pet name tag,hand made,Pet collar charm,Dog tag,Cat tag,Pet safety,minimalist dog tag",United States,2023-06-14,yes,no,no,BestEngravings,https://www.etsy.com/listing/1488524494/personalized-gold-dog-tag-custom
"Custom Alternative Pet ID, Personalized Spooky Pet Tag, Gothic Pet Tag ",Pet Supplies > Pet Collars & Leashes > Pet ID Tags,13.0,36,465,139,7,1970,84,"pet id,acrylic pet tag,custom pet tag,custom pet id,spooky pet,gothic pet tag,gothic pet,spooky pet id,spooky pet tag,resin pet tag,cute pet tag,dog birthday,cat birthday",United States,2023-04-30,yes,no,no,shopwavydrops,https://www.etsy.com/listing/1472146477/custom-alternative-pet-id-personalized
The ORIGINAL hanging moss hide ,Pet Supplies > Pet Carriers & Houses > Pet Houses,13.0,36,735,159,14,1539,77,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,jumping spider ledge,praying mantis,insects,reptile,moss hide,hanging moss hide",United States,2023-05-01,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1458670844/the-original-hanging-moss-hide
"Personalized Floral Dog Collar, With Fabric and Leather Patch, Boho Pattern, Laser Engraved, Quick Release Buckle, Girl Wedding Dog Collar ",Pet Supplies > Pet Collars & Leashes > Pet Collars & Jewelry,12.99,34,222,66,9,557,36,"bohemian Pattern,Blooming Light,fabric patch,Festival Chic Unique,wild flowers usa,Gift Black Gold pet,Custom Whimsical,Spring bronze orange,Vibrant pastel,Springtime Botanical,Garden print Botanic,leather patch girly",United States,2023-06-16,yes,no,no,TagPup,https://www.etsy.com/listing/1490081038/personalized-floral-dog-collar-with
"Personalized Cat Memorial Stake, Metal Stake, Cat Loss, Sympathy Sign, Pet Grave Markers, Remembrance Stake, Garden Decor, Flower Cat ",Pet Supplies > Urns & Memorials > Pet Grave Markers,19.27,32,1109,248,7,1123,15,"Metal Stake,Sympathy Sign,Remembrance Stake,in loving memorial,unique gift,Cat Loss,Flower Cat,Cat Memorial Stake,Grave Markers,cat lover,Gardern Decor",United States,2022-11-08,yes,no,no,PrettyClaireTurner,https://www.etsy.com/listing/1328271862/personalized-cat-memorial-stake-metal
