title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"120+ Lightroom Preset Bundle | Aesthetic Wedding Presets, Natural Instagram Photo Preset, Warm Golden Hour Professional Photographer Presets ",5.97,50,517,79,3,605,30,"Dark Skin Presets,Instagram Presets,Preset Bundle,Summer Presets,Aesthetic Presets,Luxury Presets,Natural Presets,Golden Hour Presets,Photographer Presets,Wedding Presets,Elopement Presets,Engagement Presets,Warm Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1446286480/120-lightroom-preset-bundle-aesthetic
"150+ Film Lightroom Preset Bundle, Retro Boho Presets for Instagram, Vintage Mobile Influencer Preset for Bloggers, Disposable Camera Preset ",5.97,28,809,80,3,1071,56,"Lifestyle Presets,VSCO Filter,Vintage Presets,Instagram Presets,Influencer Presets,Film Presets,Natural Presets,Flash Presets,Retro Presets,Aesthetic Presets,Film Camera Presets,Analog Presets,Film Preset Bundle",United States,2023-03-24,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1431950416/150-film-lightroom-preset-bundle-retro
"50+ 35MM FILM Lightroom Mobile & Desktop Preset, Blogger Presets, Film Aesthetic Preset, Vintage Analog Film, Instagram Film Grain Filter ",2.7,22,154,15,0,232,11,"instagram presets,lightroom presets,mobile presets,film presets,grainy presets,analog preset,35mm presets,retro film preset,film bundle preset,preset bundle,preset collection,fuji presets,kodak presets",United States,2023-05-11,yes,no,no,FilAndEllieStudio,https://www.etsy.com/listing/1465608554/50-35mm-film-lightroom-mobile-desktop
"2000+ FILM Lightroom Mobile & Desktop Presets, Film Preset, Vintage Grain Presets, Instagram filter, Analog 35 mm Presets, Aesthetic Retro ",5.04,16,113,9,0,102,5,"lightroom presets,film presets,influencer filter,lightroom mobile,lifestyle preset,vintage film preset,film preset,retro presets,35mm preset,disposable preset,natural preset,photo presets,analog flash presets",United States,2023-06-20,yes,no,no,KatherineDream,https://www.etsy.com/listing/1507364125/2000-film-lightroom-mobile-desktop
Adobe Photoshop for Mac User- 2023 / 2022 ( Read  Description) ,13.5,8,59,17,0,18,0,"adobe,adobe photoshop,adobe photoshop pro,photoshop,photoshop 2023,adobe 2023,mac,adobe photoshop 2023,photoshop for mac,photoshop for apple,adobe for mac,mac user",United States,2023-07-05,yes,no,no,MarrwaadCrreation,https://www.etsy.com/listing/1516666635/adobe-photoshop-for-mac-user-2023-2022
"2000+ Lightroom Presets BUNDLE, Summer Vacation Photo Filter Instagram Bloggers, Neutral Aesthetic Presets for Influencers, Moody Presets ",5.46,7,204,42,3,140,7,"Lightroom Presets,Mobile Presets,Desktop Presets,instagram filter,photo filters,blogger presets,summer preset,travel presets,aesthetic presets,colorful presets,vibrant presets,preset bundle,clean light preset",United States,2023-05-12,yes,no,no,KatherineDream,https://www.etsy.com/listing/1465995018/2000-lightroom-presets-bundle-summer
"30 Old Master Background, Vertical portrait background, Portrait studio backdrop, Grunge background, Portrait studio Background Digital JPG ",6.3,6,304,26,0,326,18,"Digital Backdrops,Digital backgrounds,Studio Overlays,Photoshop overlays,Fine Art Textures,Maternity Overlays,Portrait Texture,Photo editing,Photo Background,Maternity Backdrop,Maternity background,MagicOverlay,Dana Cole Backdrop",United States,2023-05-31,yes,no,no,FOTOFANA,https://www.etsy.com/listing/1479086872/30-old-master-background-vertical
"400+ Aesthetic Summer Travel Presets, Lightroom Preset Bundle, Mobile & Desktop Presets, Travel Blogger Photo Editing Filters for Instagram ",5.97,6,26,5,0,101,2,"Lifestyle Presets,Blogger Presets,Instagram Presets,Influencer Presets,Travel Presets,Bright Presets,Natural Presets,Preset Bundle,Summer Presets,Beach Presets,Vibrant Presets,Outdoor Presets,Photographer Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1446288728/400-aesthetic-summer-travel-presets
GI America 540+ wishes AR45+ ,23.39,5,251,42,2,145,15,"reroll,genshin account,primogems,genshin wishes,hutao,ganyu,genshin reroll,genshin na,genshin eu,genshin asia",United States,2023-05-07,yes,no,no,GatchaBunny,https://www.etsy.com/listing/1462541518/gi-america-540-wishes-ar45
"50+ 35MM FILM Lightroom Mobile & Desktop Preset, Blogger Presets, Film Aesthetic Preset, Vintage Analog Film, Instagram Film Grain Filter ",2.7,4,187,25,2,294,22,"instagram presets,lightroom presets,mobile presets,film presets,grainy presets,analog preset,35mm presets,retro film preset,film bundle preset,preset bundle,preset collection,fuji presets,kodak presets",United States,2023-05-11,yes,no,no,FilAndEllieStudio,https://www.etsy.com/listing/1465608324/50-35mm-film-lightroom-mobile-desktop
GI pick two limited five star characters+wishes ,38.69,4,175,31,1,134,7,"reroll,genshin account,primogems,genshin wishes,hutao,ganyu,genshin reroll,genshin na,genshin eu,genshin asia",United States,2023-05-07,yes,no,no,GatchaBunny,https://www.etsy.com/listing/1462556790/gi-pick-two-limited-five-star
