title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
blind date with a book (taylor's version) ,"Books, Movies & Music > Books > Literature & Fiction",30.0,141,1582,321,32,4364,131,"book,blind date,swiftie,gift,midnights,lover,speak now,make it a book date,christmas gift,birthday",United States,2022-12-30,yes,no,no,BulldogandCo,https://www.etsy.com/listing/1367870452/blind-date-with-a-book-taylors-version
Taylor Swift Bookmark - Swiftie - Midnights - Book Lover - Swiftie Bookmark - Eras Tour - Taylor Swift Merch ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",4.95,90,472,97,18,1073,95,"taylor swiftie merch,taylorswift,swiftie bookmark,swiftie gift,book lover,eras tour,eras tour merch,eras tour sticker,swiftie merch,booktok,book nerd gift,book lover gift",United States,2023-06-08,yes,no,no,OnlyAngelCraftCo,https://www.etsy.com/listing/1484540300/taylor-swift-bookmark-swiftie-midnights
"Customized Leather Journal, Personalized Leather Journal, Journal with Name, Personalized Notebook, Personalized Diary, Monogram Journal ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",7.75,67,234,53,16,265,45,"journal,personalized journal,notebook,journals,custom journal,notebooks,custom notebook,leather journal,gratitude journal,manifestationjournal,gift for her,mothers day gift,engraved journal,self care journal,leather notebook,monogrammed journal,customized notebook,journal for women",United States,2023-06-16,yes,no,no,EliteEngravingCo,https://www.etsy.com/listing/1504674745/customized-leather-journal-personalized
"Leather Personalized Journal, Engraved Journal, Personalized Journal for Women, for Men, Leather Planner, a5 Notebook Cover, Dentist Gift ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",39.5,37,991,283,12,1636,46,"leather journal,personalized journal,journal personalized,engraved journal,flight attendant,thank you gift,one year anniversary,leather planner,travel journal,dentist gift,60th birthday gifts,gifts for boyfriend,a5 notebook cover",United States,2022-11-30,yes,no,no,USPersonalizedGoods,https://www.etsy.com/listing/1344664536/leather-personalized-journal-engraved
"Blind Date with a Book, Curated Gift Box, Mystery Book, Book Lover Gift, Bookworm Gift, book box ","Books, Movies & Music > Books > Book Sets & Collections",34.0,29,82,20,4,473,63,"Blind date book,blind date,book lover,Gift for book lover,curated,book box,bookish,booktok,Book,book mark,mystery book,gift",United States,2023-05-11,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1480115559/blind-date-with-a-book-curated-gift-box
"Custom Birth Flower Bookmark, Personalized Floral Bookmark for Women, Acrylic Bookmark Gift, Name Bookmark, Aesthetic Bookmark with Tassel ","Books, Movies & Music > Books > Book Accessories > Bookmarks",9.99,28,3754,898,46,4344,229,"Name Bookmark,Custom Bookmark,Birth Flower,Flower Bookmark,Floral Bookmark,Bookmark for Women,Personalize Bookmark,Acrylic Bookmark,Bookmark Gift,Aesthetic Bookmark,Bookmark with Tassel,Mothers Day Gifts,Bridesmaid Gifts",United States,2023-03-22,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1429874680/custom-birth-flower-bookmark
wildflower bookmarks | real dried flowers | bookmark for women | bookmark with tassel | bookmark set | gift idea | custom bookmark ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",12.6,24,577,136,14,3028,79,"bookmark,bookmarks,handmade,flower bookmark,book marks,bookmark for women,book mark,bookmarks for women,pressed flowers,floral bookmark,cute bookmark,gift idea,bookmark aesthetic,book lover,book accessories,pretty bookmark,aesthetic bookmark,book gift idea,Bookmark with tassel",United States,2023-01-21,yes,no,no,graceslittlebookcase,https://www.etsy.com/listing/1384700726/wildflower-bookmarks-real-dried-flowers
Loss of Father Grief Journal | Letters to Dad in Heaven | Dad Memorial Gift | Loss of Dad Gift | Loss of Father Gift | Dad Remembrance Gift ,"Books, Movies & Music > Books > Blank Books > Journals & Notebooks",31.3,22,1027,242,3,1167,6,"dad grief journal,dad memorial gift,letters to dad,dad in heaven,loss of dad gift,loss of father gift,dad remembrance,father memorial gift,in memory of dad,father memorial,father sympathy gift,dad sympathy gift,dad bereavement",United States,2022-10-14,yes,no,no,28Collective,https://www.etsy.com/listing/1325107445/loss-of-father-grief-journal-letters-to
Custom Vinyl Record 12 ,"Books, Movies & Music > Music > Recorded Audio > Vinyl Records",93.74,20,465,92,0,2660,110,"custom vinyl,custom record,music on vinyl,vinyl mixtape,vinyl record,anniversary gift,wedding gift,personalized gift,custom mixtape,minimalist,custom lp",United States,2022-10-31,yes,no,no,ThisIsCustomArt,https://www.etsy.com/listing/1336034653/custom-vinyl-record-12-lp-mixtape-fully
"Personalized Hand Embroidered Corner Bookmark, Felt Triangle Page Stitched Corner Handmade Bookmark ","Books, Movies & Music > Books > Book Accessories > Bookmarks",12.54,20,1586,431,36,3617,167,"Embroidered Bookmark,for Book Lovers,Handmade Bookmark,Corner Bookmark,Book Corner,Reading Lovers,custom bookmark,name bookmark,Gift for mom,Book Lover Gift,book accessories,Personalized gift,embroidered gifts",United States,2023-04-25,yes,no,no,FnkDIY,https://www.etsy.com/listing/1454166140/personalized-hand-embroidered-corner
"Loss of Father Grief Journal, Letters to Dad in Heaven, Loss of Father Gift, Dad Memorial Gift, Dad Remembrance Gift, Loss of Dad Gift ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",16.98,20,192,31,7,178,21,"Personalize Notebook,Custom journal,Loss of Father Gift,Dad Memorial Gift,Dad Remembrance Gift,Loss of Dad Gift,Grief Journal,Letters to Dad,father memorial gift,in memory of dad,father sympathy gift,dad sympathy gift,gift for dad",United States,2023-06-01,yes,no,no,DiamondGiftShop,https://www.etsy.com/listing/1479829378/loss-of-father-grief-journal-letters-to
"Personalized Name Acrylic Bookmark, Mothers Day Gifts, Gift For Her, Gift For Book Lovers, Handmade Floral Bookmark, Cute Unique Bookmarks ","Books, Movies & Music > Books > Book Accessories > Bookmarks",9.99,19,258,59,2,693,24,"Personalized Gifts,Name Bookmark,Acrylic Bookmark,Mothers Day Gifts,Gift For Her,Gift For Book Lovers,Handmade Bookmark,Floral Bookmark,Cute Bookmark,Unique Bookmarks,Custom Bookmarks,Gift For Mom,Flower Bookmark",United States,2023-04-18,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1449836546/personalized-name-acrylic-bookmark
"Personalized Hand Embroidered Corner Bookmark, Felt Triangle Page Stitched Corner Handmade Bookmark ","Books, Movies & Music > Books > Book Accessories > Bookmarks",12.54,19,89,61,6,488,12,"Embroidered Bookmark,for Book Lovers,Handmade Bookmark,Corner Bookmark,Book Corner,Reading Lovers,custom bookmark,name bookmark,Gift for mom,Book Lover Gift,book accessories,Personalized gift,embroidered gifts",United States,2023-06-18,yes,no,no,FnkDIY,https://www.etsy.com/listing/1505674115/personalized-hand-embroidered-corner
"Loss of Father Memorial Gift Journal, DAD Loss Grief Journal, Letters to My Dad in Heaven Sympathy Gift Father in Heaven Loss of father gift ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",25.2,18,412,82,9,483,42,"Bereavement gift,Dad Memorial Gift,Dad Remembrance,Grief Journal,Grieving Gift,Letters to Dad,Loss of Dad,Loss of Father,dad memorial,death of father gift,loss of dad gift,loss of father gift,Father in Heaven",United States,2023-05-21,yes,no,no,MotherHope,https://www.etsy.com/listing/1486644043/loss-of-father-memorial-gift-journal-dad
Custom Indie Book Earrings ,"Books, Movies & Music > Books > Book Accessories",8.5,18,477,102,7,1058,74,"earrings,book,book earrings,bookish,bookish earrings,earring set,book lover,book swag,bookish swag,custom earrings,custom book,custom",United States,2023-02-19,yes,no,no,BellesBookCorner,https://www.etsy.com/listing/1406887548/custom-indie-book-earrings
Real Leather Dragon Bookmark | Personalized or Leave Blank | A Fun and Unique Bookmark Great for Readers of All Ages | Fantasy Gift | USA ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",12.95,18,690,173,4,1659,35,"book mark,leather bookmark,handmade bookmark,dragon dnd,dungeons and dragons,knight and dragon,bookmark for kids,house of the dragon,christmas birthday,dnd gift reader,fantasy bookmark",United States,2022-11-16,yes,no,no,HashtagLeatherworks,https://www.etsy.com/listing/1347631857/real-leather-dragon-bookmark
