title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Catnip filled rabbit fur ball with less than perfect raccoon tail. Real fur cat toys, kicker toys, handmade, organic, cat toys, all natural ",Pet Supplies > Pet Toys > Cat Toys,16.98,17,232,32,4,369,75,"cat toys,cat toys interactive,rabbit fur,unique cat toys,real fur cat toys,kickers,natural cat toys,coyote tail,catnip cat toy,cat toys cute,rabbit,unusual cat toys",United States,2023-04-07,yes,no,no,Alpacacat,https://www.etsy.com/listing/1441686788/catnip-filled-rabbit-fur-ball-with-less
Greenpro | Mosaic Plant Ludwigia Sedoides Bundle US Grow Live Aquarium Plants Freshwater Fish Tank Decoration ,Pet Supplies > Pet Carriers & Houses > Aquariums & Tank Decor,15.11,17,243,35,2,1049,48,"aquarium,live,plant,decoration,tropical,fish,aquascaping,anubias,shrimp,freshwater,aquatic,tank,snaillfree",United States,2023-03-18,yes,no,no,GREENPROUSA,https://www.etsy.com/listing/1426858016/greenpro-mosaic-plant-ludwigia-sedoides
BYOT Foraging Flat -  ,Pet Supplies > Pet Toys > Bird Toys,18.75,16,74,36,0,160,10,"bird,toys,parrot,toy,parts,safe,bird toys,toys for parrots,pet,pets,natural,foraging,box",United States,2023-04-25,yes,no,no,abirdtoy,https://www.etsy.com/listing/1468413039/byot-foraging-flat-under-the-sea-with
Cowboy Pet Western Stylish Dog Cat Costume | Star-Studded Texas Hat | Pet Halloween Gift Thanksgiving Christmas Cattery Wedding Barbie Pink ,"Pet Supplies > Pet Clothing, Accessories & Shoes > Pet Clothing > Pet Hats & Wigs",12.5,13,601,49,0,945,43,"pet cosplay,Pet Accessories,Gift,Dogs,Chinchilla,Cats,Kitten,Christmas,Pet Holiday,Cowboy Hat,Pet Halloween,Pet Hat",United States,2022-10-15,yes,no,no,JinboBoutique,https://www.etsy.com/listing/1325395217/cowboy-pet-western-stylish-dog-cat
Blue Toggle Coat & Red Floppy Hat - Famous Dog or Cat Costume - Artist Handcrafted ,"Pet Supplies > Pet Clothing, Accessories & Shoes > Pet Clothing > Pet Jackets & Hoodies",50.0,11,161,21,0,389,40,"Red Bucket hat,Halloween dog,Unique,Golden Doodle,Halloween,Dog costume,dog clothes,Dachshund,Pomeranian,Dog Blue Toggle Coat,Dog Duffle Coat,Bert the Pom,Blue Duffel Coat",United States,2022-10-06,yes,no,no,sockmonkeyangel,https://www.etsy.com/listing/1305284064/blue-toggle-coat-red-floppy-hat-famous
"Essential Dog Hoodie, Designer Dog Clothes, Dog Hoody for Dogs, Sweatshirt for Dogs, Dog Sweater, Small Dog Clothes ","Pet Supplies > Pet Clothing, Accessories & Shoes > Pet Clothing > Pet Jackets & Hoodies",18.7,8,315,39,2,890,21,"Dog Sweater,Dog Hoodie,Small Dog Clothes,Small Dog Sweater,Large Dog Sweater,Dog Hoody,Custom Dog Hoodie,Hoodie for Dog,Large Dog Hoodie,ESSENTIALS,Fear of God,Designer Dog,Sweater for Dog",United States,2022-12-06,yes,no,no,LoveLightPaws,https://www.etsy.com/listing/1363344771/essential-dog-hoodie-designer-dog
Set of TWO ceramic feeder dishes ,Pet Supplies > Pet Carriers & Houses > Pet Houses,10.0,8,302,63,2,420,14,"jumping spider,spider,enclosure,enclosure decor,jumping spider decor,unique,feeder,feeder dish,reptile,water dish",United States,2023-04-03,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1438915492/set-of-two-ceramic-feeder-dishes
"Bunkin’ Donuts~ Healthy, organic, all natural treat for rabbits, hamsters, guinea pigs, chinchillas & other small animals ",Pet Supplies > Pet Feeding > Pet Food & Treats > Pet Treats,9.75,8,750,78,2,695,18,"custom donuts,bunny enrichment,bunny treats,cute bunny treats,Hamster treats,chinchilla treats,guinea pig treats",United States,2022-10-27,yes,no,no,MoonlightBunnyBoutiq,https://www.etsy.com/listing/1333870607/bunkin-donuts-healthy-organic-all
28 ,Pet Supplies > Pet Furniture > Play Furniture,109.0,8,411,90,0,1926,26,"Cat bed,Cat perch,Cat hammock,Wood pet furniture,Wood cat hammock,Bed shelf,Portable Furniture,Cat Window Perch,Cat Window Seat,cat furniture modern,window sill desk,Cat seat",United States,2022-10-22,yes,no,no,TheNamu,https://www.etsy.com/listing/1330149367/28-x-10-two-cats-no-problem-non-slip-cat
The ORIGINAL tulip hide - 6 color choices ,Pet Supplies > Pet Carriers & Houses > Pet Houses,11.0,7,294,58,2,647,26,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,tulip,flower,flower spider hide,tulip spider hide",United States,2023-03-13,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1423121200/the-original-tulip-hide-6-color-choices
Two Legged Cotton Warm Dog Hoodie Pet Hoodie Clothing Adidog ,"Pet Supplies > Pet Clothing, Accessories & Shoes > Pet Clothing",14.99,7,398,59,2,890,18,Pet Hoodie,United States,2022-11-04,yes,no,no,PepLaCostume,https://www.etsy.com/listing/1339054873/two-legged-cotton-warm-dog-hoodie-pet
"ONLY available with purchase of our tags, Spring Clasp add on for Pet Id Tags. ",Pet Supplies > Pet Collars & Leashes > Pet ID Tags,3.5,7,848,133,2,363,11,"Pet Supplies,Pet Collars & Leashes,Pet ID Tags",United States,2022-11-10,yes,no,no,HOWLandHEART,https://www.etsy.com/listing/1343615831/only-available-with-purchase-of-our-tags
"Hayzee Hay Holder: Encourages Natural Burrowing, Less mess, Waterproof - Hay Keeper Rack For Guinea Pigs and Rabbits! C&C Midwest Cage ",Pet Supplies > Pet Feeding > Pet Feeders & Waterers,18.95,7,553,98,0,1054,24,"Hay rack,Hayrack,Hay holder,Hay bin,Litter box,Rabbit,Guinea pig,Cage liner,Hay feeder,Hay bag,Haybag,C and C,Midwest",United States,2022-12-14,yes,no,no,TaterPets,https://www.etsy.com/listing/1356109694/hayzee-hay-holder-encourages-natural
"Stacking Cups ~ Foraging & Enrichment Toy for Rabbits, Chinchillas, Guinea Pigs, Rats and other Small Animals, Bunny Boredom Buster ",Pet Supplies > Pet Toys > Small Animal Toys,14.75,6,785,139,1,1820,11,"enrichment toy,guinea pig,stacking cup,bunny,Rabbit toy,forage,treat,hamster,chinchilla,boredom buster",United States,2023-01-16,yes,no,no,MoonlightBunnyBoutiq,https://www.etsy.com/listing/1394584185/stacking-cups-foraging-enrichment-toy
Hand Tooled White whipstitched Daisy Leather Western style Dog Collar ,Pet Supplies > Pet Collars & Leashes > Pet Collars & Jewelry,19.0,6,208,37,0,769,21,"Tooled leather,Western,dog collar,handmade,Daisy,white,whipstitch,farm dog,cattle dog,show dog,puppy,animal",United States,2023-01-18,yes,no,no,TheSterlingGypsy,https://www.etsy.com/listing/1381858004/hand-tooled-white-whipstitched-daisy
The Everest E Collar 3/4 ,Pet Supplies > Pet Collars & Leashes > Pet Collars & Jewelry,39.99,6,710,137,3,1048,12,"dog collar,pet collar,e collar strap,e collar bungee,waterproof collar,e collar,collar strap",United States,2022-10-24,yes,no,no,HootandCoPetShop,https://www.etsy.com/listing/1331574993/the-everest-e-collar-34-strap-bungee
MicroChipped Pet Tag Charm ,Pet Supplies > Pet Collars & Leashes > Pet ID Tags,4.0,6,921,90,3,379,10,"Pet Collar ID,Acrylic Pet ID Tag,Acrylic Pet Tag,Acrylic Pet Charm,Microchipped Tag,Custom Pet Charm,Custom Keychain,Pet Name Tag,Acrylic Jewelry,Microchip Tag,Custom Dog Tag Charm,Custom Cat Tag Charm,Informative Pet Tag",United States,2023-01-28,yes,no,no,NeenTags,https://www.etsy.com/listing/1404090715/microchipped-pet-tag-charm
Fruit Flavored Mushroom Chews ,Pet Supplies > Pet Feeding > Pet Food & Treats > Pet Treats,2.5,5,347,79,5,244,3,"boredom breaker,pet toy,rodent toys,small animal toys,hamster chew,pet chew",United States,2023-04-20,yes,no,no,HammyPawsCo,https://www.etsy.com/listing/1465555991/fruit-flavored-mushroom-chews
Malaysian  Driftwood Aquarium Décor / Terrarium / Reptile Tank / Aquascaping / Planted Aquarium ,Pet Supplies > Pet Carriers & Houses > Aquariums & Tank Decor,18.64,5,168,30,0,422,25,"Driftwood,Aquarium wood,Aquarium tank decor,Shrimp wood,tank decor,Malaysian Wood,Tank wood,Terrarium wood,Reptile Tank,Aquascaping,fish wood,wood for betta,Moss attach wood",United States,2023-03-04,yes,no,no,Freshwaterlove,https://www.etsy.com/listing/1430697007/malaysian-driftwood-aquarium-decor
Light Lifter for Fluval Spec III & V Aquariums ,Pet Supplies > Pet Carriers & Houses > Aquariums & Tank Decor,8.0,5,622,128,2,142,0,"Fluval Spec V,Height Increase,Fishguildcorp,aquarium upgrade,Fluval Spec III,Fluval Spec 10L,Fluval Spec 19L,Spec Light Lifter,Spec Light Riser,Light Raiser,Light Lifter,Fish Guild Corp,Spec upgrade",United States,2022-10-19,yes,no,no,FishGuildCorp,https://www.etsy.com/listing/1313991806/light-lifter-for-fluval-spec-iii-v
Waterproof Clothes | Winter Coat | Dog Coat With Harness Warm | Pet Clothing | Adjustable Coat ,"Pet Supplies > Pet Clothing, Accessories & Shoes > Pet Clothing",22.99,5,404,90,0,692,15,"Pet Supplies,Pet Clothing, Accessories & Shoes,Pet Clothing,Pet Clothing",United States,2022-10-25,yes,no,no,PepLaCostume,https://www.etsy.com/listing/1318095656/waterproof-clothes-winter-coat-dog-coat
The ORIGINAL flower exercise wall for jumping spider - 8 color choices ,Pet Supplies > Pet Carriers & Houses > Pet Houses,10.0,4,229,42,4,155,9,"Jumping spider,jumping spider decor,enclosure,enclosure decor,spider,spider web,jumping spider web,cherry blossom,insects,reptile,moss web,exercise wall",United States,2023-04-16,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1448166876/the-original-flower-exercise-wall-for
"Heart charm, Metal charms, Charms for dogs, Pet charms, enamel charms, Valentine's Day charm ",Pet Supplies > Pet Collars & Leashes > Pet ID Tags,3.0,4,590,109,1,261,7,"black heart,pink heart,white heart,red heart,minimalist charm,pet charms,dog tag,pet tag,cat charms,howl and heart",United States,2023-01-13,yes,no,no,HOWLandHEART,https://www.etsy.com/listing/1378124828/heart-charm-metal-charms-charms-for-dogs
Picky Prickles Hedgehog Kibble Mix ,Pet Supplies > Pet Feeding > Pet Food & Treats > Pet Treats,10.0,3,169,58,3,59,1,"Hedgehog Food,Picky Prickles,Kibble Mix,Hedgie,Hedgehogs,Hedgehog Supplies,Hedgehog,Hedgehog Kibble,Hedgehog Kibble Mix,Hedgie Food,Hedgehog Cat Food,Hedgehog Foods",United States,2023-05-29,yes,no,no,ThePrickledRose,https://www.etsy.com/listing/1492062433/picky-prickles-hedgehog-kibble-mix
"Duckweed BUY2GET1FREE (!!!LARGE QUANTITY!!!, Lemna Minor) - Home Grown Green and Healthy ",Pet Supplies > Pet Carriers & Houses > Aquariums & Tank Decor,7.25,3,379,57,2,298,5,"aquarium plant,aquatic plants,shrimp plants,aquarium decor,aquarium decorations,live plants,aquarium gifts,duckweed,Lemna Minor,aquascaping plant,freshwater aquariums,fish and shrimp,aquarium store",United States,2022-12-29,yes,no,no,PoofyDove,https://www.etsy.com/listing/1366872168/duckweed-buy2get1free-large-quantity
"Mini Donuts~ OAT FREE base~ 5 Flavors! Bite sized healthy all natural treats for rabbits, hamsters, guinea pigs, mice, & other small animals ",Pet Supplies > Pet Feeding > Pet Food & Treats > Pet Treats,10.88,2,146,24,2,100,7,"custom donuts,bunny enrichment,bunny treats,cute bunny treats,Hamster treats,chinchilla treats,guinea pig treats,healthy treats,cute treats,oat free,timothy hay,nutrient dense,assorted flavors",United States,2023-04-03,yes,no,no,MoonlightBunnyBoutiq,https://www.etsy.com/listing/1439219802/mini-donuts-oat-free-base-5-flavors-bite
"Sisal Fabric to Repair Cat Scratching Post, Cat Scratching Fabric, Sisal Carpet, DIY Cat Tower, Mid Century Modern Cat Furniture ",Pet Supplies > Pet Furniture > Play Furniture,9.99,2,0,30,1,317,12,"Cat Scratch Fabric,Cat Scratcher,Cat Scratch Post,Cat Scratch Pad,Cat Furniture,Mid Century Modern,Modern Cat Furniture,Cat Scratch Material,Cat Scratch Carpet,Cat Sisal Fabric,DIY Cat Scratch Post,Woven Sisal Fabric,Repair Cat Furniture",United States,2022-12-13,yes,no,no,FelineFandom,https://www.etsy.com/listing/1369538679/sisal-fabric-to-repair-cat-scratching
Floating Plant Organizer ,Pet Supplies > Pet Carriers & Houses > Aquariums & Tank Decor,8.49,2,577,219,2,355,2,"Aquarium,Floating Plant,Duckweed,Fish,Shrimp,Tank",United States,2022-11-17,yes,no,no,AquaBytes,https://www.etsy.com/listing/1334540684/floating-plant-organizer
