title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Mockup Bundle | The Whole Shop Pass | Includes all current mockups and future updates! ,15.0,168,1781,298,25,315,39,"Mockup Loft,the whole shop,model mockup,mockup mega bundle,tshirt size charts,bella canvas 3001,fall t shirt mockup,Christmas mockup,3001 mockup,mockup bundle,png sublimation,18000 mockup,white sweatshirt",United States,2023-04-21,yes,no,no,MockupLoft,https://www.etsy.com/listing/1465641569/mockup-bundle-the-whole-shop-pass
"Halloween Sublimation Designs Bundle Png, Halloween Png Bundle, Halloween Designs Bundle, Sublimation Designs Downloads, Digital Download ",1.99,144,307,27,14,553,123,"Sublimation Designs,Halloween png,Happy Halloween Png,Bad Witch Vibes Png,halloween shirt png,halloween vibes png,halloween design,pumpkin sublimation,halloween bundle png,sublimation bundle,png design bundle,png bundle,It's Spooky Season",United States,2023-07-12,yes,no,no,MintyCoffeeArtStore,https://www.etsy.com/listing/1507436090/halloween-sublimation-designs-bundle-png
Just A Girl Who Loves Horror Digital Download Horror / Halloween  20 oz Skinny  Tumbler Wrap Sublimation Design PNG Designs Instant Download ,1.42,116,1739,216,16,1744,52,"Art & Collectibles,Drawing & Illustration,Digital",United States,2023-06-17,yes,no,no,Trio3D,https://www.etsy.com/listing/1491011922/just-a-girl-who-loves-horror-digital
Christmas Mockup Blank White Round Ceramic Christmas Ornament Mockup Bundle Tree Ornament Mockup Christmas Mock ups Canva Mock up Bundle ,0.75,90,437,86,15,182,31,"ornament mockup,ornament,christmas ornaments,christmas,ornaments,christmas ornament,ornament mock up,christmas mockup,ceramic ornament,uv printed ornament,mock ups,mock up bundle,mockup bundle,canva mockup,digital mockup,digital download,ornament mock ups,tree ornament,holiday mockup,mockup ornament",United States,2023-07-13,yes,no,no,MockstarBoutique,https://www.etsy.com/listing/1522255463/christmas-mockup-blank-white-round
"KG svg, eps, Bichota svg, Pink Hair, Mañana Será Bonito SVG, Bichota Season, Karol g Sublimation, La bichota svg ",3.99,85,390,63,8,383,29,"Karol G,New Album,Mañana Será Bonito,High Quality,Bichota,Season,Manana Sera Bonito,png,svg,eps,Ready to Print",United States,2023-08-01,yes,no,no,DahliaTees,https://www.etsy.com/listing/1521156476/kg-svg-eps-bichota-svg-pink-hair-manana
"Horror Character SVG, Horror SVG, Chibi Horror Svg, Halloween Svg, Cute Horror Svg, Horror png, Cute Halloween Svg, Horror Cut Files ",1.87,84,255,30,16,232,74,"halloween svg,horror svg,horror movie svg,halloween horror svg,horror clipart,horror character svg,chucky svg,beetlejuice svg,jason voorhees svg,horror characters,Horror PNG,Halloween PNG,cute Horror svg,Chibi horror Svg,Horror Cut Files,Cute Halloween Svg,Horror Cricut,Halloween clipart,Horror friends svg,Horror Birthday",United States,2023-08-02,yes,no,no,LittleLovelyMermaid,https://www.etsy.com/listing/1535606985/horror-character-svg-horror-svg-chibi
"custom couple portrait, couple drawing, couple painting, faceless portrait print, Engagement portrait print , Engagement photo painting gift ",3.33,76,1122,385,26,1199,81,"Gift for him,boyfriend gift,couple art print,faceless print,faceless portrait,couple faceless,faceless drawing,faceless painting,couple drawing,couple painting,Engagement portrait,Engagement photo,paintint gift",United States,2023-04-15,yes,no,no,EmmaDigitalStudio,https://www.etsy.com/listing/1461977631/custom-couple-portrait-couple-drawing
"Gildan 18000 Fall Mockup Bundle, G18000 Crewneck Thanksgiving Collection, Trendy Halloween Shop Bundle, Popular Unisex Sweatshirt Mock-ups ",6.47,74,84,22,5,66,21,"trendsetter mockups,whole shop,fall mockup bundle,gildan 18000,crewneck sweatshirts,trendy halloween,spooky season,pumpkin thanksgiving,oversized tshirt,pullover model,sports grey ash,dark heather sand,white black orange",United States,2023-08-14,yes,no,no,TrendsetterMockups,https://www.etsy.com/listing/1529524450/gildan-18000-fall-mockup-bundle-g18000
"Breast Cancer SVG PNG Bundle, Pink Awareness Ribbon Svg, Breast Cancer Awareness Instant Download Digital, Fight Cancer Quote Svg ",2.52,67,188,20,7,495,100,"breast,cancer awareness svg,fuck cancer shirt,ribbon svg,cancer svg,cancer survivor svg,breast cancer,cancer ribbon svg,awareness svg,pink ribbon svg,cancer fight svg,breast cancer png,cancer svg bundle",United States,2023-06-30,yes,no,no,Giftsheld,https://www.etsy.com/listing/1499804734/breast-cancer-svg-png-bundle-pink
Christmas Be Gone - Funny 20 oz Skinny Tumbler Wrap Design Sublimation PNG Designs Straight Tumbler ONLY Instant Download ,2.5,65,473,48,7,842,54,"Bitch Spray,bitch be gone,funny tumbler,bitch tumbler,bitches tumbler,20 oz tumbler,Christmas be gone,christmas tumbler,grinch tumbler,scrooge tumbler,bumble tumbler,jack tumbler,tumbler wrap",United States,2023-07-27,yes,no,no,DaisyBlingShop,https://www.etsy.com/listing/1531850291/christmas-be-gone-funny-20-oz-skinny
