title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Take me to the pumpkin patch PNG - Fall png sublimation - Autumn png - Thankful png - Pumpkin spice - Groovy pumpkin png - Hello pumpkin png ,Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,4.0,18,187,9,0,796,35,"png sublimation,pumpkin patch png,autumn sublimation,retro fall png,fall vibes png,pumpkin season png,thanksgiving png,fall yall pumpkin,happy autumn png,groovy fall png,farm fresh pumpkin,vintage png,fall sublimaton",United States,2023-06-15,yes,no,no,HanieAndHoney,https://www.etsy.com/listing/1489683798/take-me-to-the-pumpkin-patch-png-fall
Black Model Mockup | Black Bella Canvas 3001 Mockup | Black Male Model Mockup | African American Mockup  | Diverse Mockups Inclusive | Urban ,Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,1.0,13,112,23,3,67,5,"black model mockup,black male model,african american,bella canvas 3001,gildan 64000 mock,gildan 5000 mockup,moneymaker mockups,moonlit mockups,diverse mockups,black tshirt mockups,black man mockups,aesthetic mockups,aesthetic mockup",United States,2023-06-13,yes,no,no,InclusiveMockupsCo,https://www.etsy.com/listing/1502633393/black-model-mockup-black-bella-canvas
"Custom Pickleball Team T-Shirt, Personalized Game Day Shirt, Funny Pickleball Player Gift ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,9.99,7,64,20,2,42,2,"Group Matching,Personalized Shirt,Custom Pickleball,Pickle Ball Shirt,Pickleball Player,Custom Team Shirt,Pickleball Gift,Workout Shirt,Funny Graphic Tee,Workout Buddy,Game Day Shirt,Tournament Shirt",United States,2023-05-03,yes,no,no,SpunkyPineappleCo,https://www.etsy.com/listing/1460302124/custom-pickleball-team-t-shirt
"Little Mermaid PNG, Purple, Black Queen,Mermaid, Empowerment, Woman PNG ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,1.9,6,1464,265,0,1302,4,"Clothing,Gender-Neutral Adult Clothing,Tops & Tees,T-shirts,Graphic Tees",United States,2022-09-26,yes,no,no,PressedByBrianna,https://www.etsy.com/listing/1313046201/little-mermaid-png-purple-black
Mandalorian Inspired: BSP Upper Body Armor ,Clothing > Gender-Neutral Adult Clothing > Costumes,25.0,5,90,24,3,338,11,"Cosplay Armor,Chest Armor,Chest plate,Chest,armor,backplate,back armor",United States,2023-04-28,yes,no,no,AlterEgoArmory,https://www.etsy.com/listing/1456634790/mandalorian-inspired-bsp-upper-body
"Little Mermaid PNG, Purple,Mermaid, Empowerment, Find your voice ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,1.5,5,326,33,1,212,12,"Clothing,Gender-Neutral Adult Clothing,Tops & Tees,T-shirts,Graphic Tees",United States,2023-05-26,yes,no,no,PressedByBrianna,https://www.etsy.com/listing/1490212577/little-mermaid-png-purplemermaid
Gildan 18000 Sweatshirt Mockup Bundle Wrist Mockup Cuff Mockup Left Sleeve Mockup Gildan White Sweatshirt G180 Mockup Model Mockup Detail ,Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,14.99,4,120,21,1,206,26,"printful mockup,printify mockup,model mockup,model mock up,sweatshirt mockup,gildan 18000,gildan sweatshirt,gildan mockup,g180 mockup,sleeve mockup,left sleeve mockup,right sleeve mockup,sleeve detail mockup",United States,2023-03-14,yes,no,no,MountainMocks,https://www.etsy.com/listing/1424031576/gildan-18000-sweatshirt-mockup-bundle
"Crochet Baby Dress PATTERN 3-6 Months 6-9 Months 9-12 Months, Almost Free Crochet Pattern, Crochet Pattern, Instant Download ",Clothing > Girls&#x27; Clothing > Dresses,2.15,4,176,25,2,251,7,"baby dress pattern,free pattern,baby girl dresses,baby girl outfit,baby dresses,handmade dresses,dress pattern,red baby dress,christmas dress,take home baby dress,crochetcutiesoutfits",United States,2023-02-14,yes,no,no,CutieOutfitsbyBelle,https://www.etsy.com/listing/1416922711/crochet-baby-dress-pattern-3-6-months-6
Bella Canvas 3001 Mockup | Natural Bella Canvas Shirt Mockup | 3001 Model Mockup| Bella Canvas Model | T-shirt Model ,Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,3.37,3,253,48,2,318,3,"bella canvas 3001,bella canvas model,bella canvas mockup,natural bella canvas,natural 3001 mockup,t shirt mockup,natural shirt model,3001 fall mockup,printify mockup,printful mockup,be chic mocks,digital mockup,natural 3001 model",United States,2022-10-17,yes,no,no,BeChicMocks,https://www.etsy.com/listing/1326459495/bella-canvas-3001-mockup-natural-bella
"Distressed Softball with Custom Name, Softball Mom Shirt, Sport Lover Shirts ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,9.99,3,81,23,2,119,11,"Distressed Softball,Baseball Mom Shirt,Sport Lover Shirt,Biggest Fan,Custom Name,Personalized Shirts,Game Day Vibes,Softball Season,Softball Mom Shirt,Softball T-Shirt,Sports Gifts,Grunge Shirt,Sport Team Shirt",United States,2023-04-11,yes,no,no,SpunkyPineappleCo,https://www.etsy.com/listing/1444354152/distressed-softball-with-custom-name
