title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"3D Inflated Horror Character Tumbler Wrap, 20oz Skinny Tumbler, Cartoon 3D Inflated, Spooky Vibes Png, Halloween Png, Sublimation Design Png ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,3.84,169,640,56,14,972,87,"Trick Or Treat,Halloween Nightmare,Before Christmas,Jack Skellington,Disneyland Png,3D Inflated,3D Inflated png,Halloween boogeyman",United States,2023-07-17,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1510802212/3d-inflated-horror-character-tumbler
"Digital RECIPE BOOK, GoodNotes Planner, iPad Planner Notability Planner Yearly Meal Digital Planner Cookbook ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates > Planner Templates,2.69,151,1169,81,9,572,37,"digital planner,goodnotes planner,ipad planner,goodnotes template,digital notebook,notability planner,2023 digital planner,planner digital,planner for goodnote,digital planner app,recipe template,meal planner,recipe book template",United States,2023-04-29,yes,no,no,ArtDesignCollection,https://www.etsy.com/listing/1471644691/digital-recipe-book-goodnotes-planner
Bella & Canvas 3001 TShirt Mockup - Bella Canvas 3001 Shirt - Dark Grey Heather Shirt Mockup - Oversized Mockup - Bella Canvas Mockup ,Paper & Party Supplies > Paper > Stationery > Design & Templates > Graphic Design > Store Graphics,5.4,121,2130,409,24,1079,37,"Pepper Mockup,dark grey heather,bella canvas Shirt,C1717 mockup,tshirt mockup,bella canvas 3001,shirt mockup,bella canvas mockup,t shirt mockup,mockup,oversized mockup,moonlit mockups,Comfort Color mockup",United States,2023-04-26,yes,no,no,moonlitmockups,https://www.etsy.com/listing/1469263977/bella-canvas-3001-tshirt-mockup-bella
"SBAR Nurse Report Sheet Med Surg Nurse Brain ICU Report Sheet for Nurse RN Nursing Report Sheet, New Grad Nurse W/ Telemetry & To-Do Log ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,3.4,107,785,84,12,713,60,"Sbar Nurse Report,Nurse Report Sheet,Report Sheet,Med Surg,Nurse Brain Icu,For Nurse,Rn Nursing,Telemetry Nursing,Icu Report Sheet,Nurse Brain Sheet,Medsurg Report Sheet,Rn Report Sheet,Cna Report Sheet",United States,2023-06-02,yes,no,no,NursingPlus,https://www.etsy.com/listing/1494941809/sbar-nurse-report-sheet-med-surg-nurse
"3D Inflated Retro Spooky Season Tumbler Wrap Design, Halloween Tumbler Wrap, 3D 20oz Sublimation Design png, Skinny Straight Tumbler Wrap ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,2.4,96,1160,72,7,1640,98,"sublimation skinny,sublimation designs,tumbler template,sublimation tumbler,3d tumbler wrap,inflated tumbler png,3d design tumbler,puffy tumbler wrap,png for sublimation,tumbler sublimation,tumbler design,20oz tumbler wrap,ghost tumbler wrap",United States,2023-07-06,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1517648297/3d-inflated-retro-spooky-season-tumbler
Princess birthday invitation princesses birthday party invitation digital phone 5th princess frozen birthday party invitations for girls PR2 ,Paper & Party Supplies > Paper > Invitations & Announcements > Invitations,2.99,91,262,24,7,222,29,"princess invitation,princess invitations,princesses invite,princesses invites,editable princess,princess birthday,princesses birthday,birthday invitation,birthday invitations,digital birthday,frozen invitation,frozen invitations,princess card",United States,2023-07-11,yes,no,no,Pixifully,https://www.etsy.com/listing/1506681720/princess-birthday-invitation-princesses
Jump Invitation Editable Jump Birthday Invite Trampoline Party Bounce House Jump Party Let's Jump Girl Editable Printable Download Bir66 ,Paper & Party Supplies > Paper > Invitations & Announcements > Invitations,4.65,76,294,33,4,246,22,"Editable Invitation,Jump,Bounce Invitation,Bounce House,Trampoline Invite,Trampoline Birthday,Jump Invitation,Jump Birthday,Jump Party,Editable Template,Instant Download,Trampoline Party,Editable Jump Invite",United States,2023-03-01,yes,no,no,HoneydesignStore,https://www.etsy.com/listing/1428243515/jump-invitation-editable-jump-birthday
EDITABLE Cleaning Schedule Planner Word Google Docs Fillable Printable PDF Cleaning Schedule Weekly House Chores Household Planner Printable ,Paper & Party Supplies > Paper > Calendars & Planners,2.24,65,623,41,4,262,10,"digital planner,goodnotes planner,goodnotes template,digital notebook,notability planner,2023 digital planner,planner digital,digital calendar,digital planner app,daily planner,cleaning schedule,cleaning checklist,cleaning planner",United States,2023-04-03,yes,no,no,ArtDesignCollection,https://www.etsy.com/listing/1452935653/editable-cleaning-schedule-planner-word
"Prom Queen, Homecoming Campaign Money, Homecoming 100 bill, vote for me, election, campaign,Print and cut no files shipped,digital file only ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,5.99,62,203,22,4,268,49,"homecoming flyer,pinkpalacedesigns,campaign money,homecoming campaign,homecoming,prom queen flyer,prom queen campaign,pink palace designs,homecoming money,campaign dollar,Class campaign Flyer,voting flyer,100 bill,homecoming cards,100 money bills",United States,2022-09-23,yes,no,no,PinkPalaceDesigns,https://www.etsy.com/listing/1296707104/prom-queen-homecoming-campaign-money
"Pool Party text invitation,neon summer evite birthday iphone invitation, pool party invitation, Electronic Invite, smartphone,pool party sms ",Paper & Party Supplies > Paper > Invitations & Announcements > Invitations,3.3,60,1307,76,3,429,7,"invitation iphone,digital invitation,electronic invite,message invitation,phone invite,editable invitation,birthday,Pool Party,Pool Party e-invite,Text invitation,Summer party,Summer,Tropical",United States,2023-05-19,yes,no,no,iSwiftly,https://www.etsy.com/listing/1471394034/pool-party-text-invitationneon-summer
